ann_ret,ann_vol,sharpe,max_dd,avg_leverage,avg_n_open,n_active_positions,pct_leverage_capped_quarters,pct_liquidity_capped,total_costs,final_nav,n_dropped_positions_total,trim,tilt_power,base_unit_fraction
0.027452376303470416,0.030147627080442357,1.1830200012384957,-0.06992253901884841,0.5510449174980209,605.2917685411572,159861,0.9230769230769231,0.48324948057077116,3214080.337586441,16946231.210881636,79914,0.05,1.0,0.002
0.03081248790918112,0.03717376576607391,1.1130939465579266,-0.07212643773387555,0.5812514043486985,605.2917685411572,159861,0.9230769230769231,0.6625799176926467,3206223.921048065,18058837.381331652,112439,0.05,1.0,0.003
0.031355100692909144,0.04341501210903996,0.9750805898481572,-0.0906643235858796,0.5978959741902539,605.2917685411572,159861,0.9230769230769231,0.7355861966332973,3117043.8881468214,18244882.127028074,125884,0.05,1.0,0.004
0.02996354298562598,0.033142408840448466,1.203952489480937,-0.06293457371177216,0.5725243154303841,605.2917685411572,159861,0.9230769230769231,0.540595612182404,3241675.23510872,17771367.249056596,90020,0.05,1.5,0.002
0.0328440234331322,0.040654990174900284,1.1069365690001687,-0.07474740132861152,0.6039994254244432,605.2917685411572,159861,0.9230769230769231,0.7003508651430076,3150072.5040499875,18764771.71086111,119382,0.05,1.5,0.003
0.03102543530935975,0.04586516148367759,0.9103133697907859,-0.09580643434071003,0.5929953326981575,605.2917685411572,159861,0.9230769230769231,0.7639931086193772,2903786.8955638586,18131634.718970425,131198,0.05,1.5,0.004
0.03166774834503516,0.03522724053366067,1.2174603136019795,-0.06827670867523859,0.5841115556136824,605.2917685411572,159861,0.9230769230769231,0.5856528781816829,3233292.507484202,18352903.251782924,97880,0.05,2.0,0.002
0.0335353408694119,0.043962543003482034,1.0524023048634819,-0.08064464066007464,0.6118145947093873,605.2917685411572,159861,0.9230769230769231,0.7292442948640898,3058670.703329582,19010909.127652615,124633,0.05,2.0,0.003
0.031834066535955996,0.048908875753509704,0.8829497764695513,-0.10832327687500352,0.5990130761153066,605.2917685411572,159861,0.9230769230769231,0.7847416590827138,2798806.0241646427,18410613.85419087,135086,0.05,2.0,0.004
0.027210045934736193,0.028818493503381323,1.2237429822157277,-0.062370532760160205,0.550584301654211,540.0116136919315,141989,0.9230769230769231,0.3186576689504382,3212145.3466659854,16868556.92179148,50860,0.1,1.0,0.002
0.030795527669411182,0.03543902011651848,1.1667417813986227,-0.07357940033436258,0.5749011181656596,540.0116136919315,141989,0.9230769230769231,0.532004281356068,3215729.992956332,18053051.35898251,89405,0.1,1.0,0.003
0.0309029432449639,0.041175844194897455,1.0087587026488578,-0.0833932984570798,0.5946737904061649,540.0116136919315,141989,0.9230769230769231,0.6141799886669986,3142645.3261269615,18089726.137495786,104543,0.1,1.0,0.004
0.02894184081870077,0.030841702792258945,1.237125774626365,-0.06153622811508464,0.5623160578728776,540.0116136919315,141989,0.9230769230769231,0.3687861668698594,3223992.9654623372,17431153.224850863,59494,0.1,1.5,0.002
0.031659186527950745,0.03816234457120554,1.12342514253147,-0.07059030459409117,0.5903806750514746,540.0116136919315,141989,0.9230769230769231,0.568498835219305,3152202.4061104376,18349937.043904684,96019,0.1,1.5,0.003
0.034162301632176595,0.04610805194667827,1.0285839559193648,-0.09147940697020808,0.6221381448380485,540.0116136919315,141989,0.9230769230769231,0.641258993423425,3093689.209068154,19236778.57650448,109552,0.1,1.5,0.004
0.030408921601333017,0.03293328959110392,1.2350249937187094,-0.06495917968843172,0.5735501127388762,540.0116136919315,141989,0.9102564102564102,0.4112620270045962,3229086.463236315,17921635.823852062,66855,0.1,2.0,0.002
0.03389556660280402,0.04150594370628224,1.1307060265944673,-0.07614194682186097,0.6103984054148183,540.0116136919315,141989,0.9230769230769231,0.5979074013656839,3137248.9708737344,19140374.98165108,101321,0.1,2.0,0.003
0.03144822100589817,0.045675518838345065,0.9304328862575763,-0.0988039532807273,0.5919665554521324,540.0116136919315,141989,0.9230769230769231,0.6642226305155371,2846769.478827769,18276992.36811721,113760,0.1,2.0,0.004
0.025581737561144458,0.02684641204523995,1.215479550901388,-0.058744180020635174,0.5373098566964352,457.8950692746536,120160,0.7564102564102564,0.09993074276948789,3120457.0056358646,16355327.29815681,12013,0.15,1.0,0.002
0.028132163614585703,0.03306549750973881,1.1127408215535648,-0.07141030789782694,0.5527238718229479,457.8950692746536,120160,0.9230769230769231,0.36851715118109335,3135657.1892428678,17165938.812096298,60748,0.15,1.0,0.003
0.029237982932483586,0.03806875249639019,1.0154809153786541,-0.08369984257637415,0.573136208619277,457.8950692746536,120160,0.9230769230769231,0.4645443045944445,3084443.1127065634,17529123.560778245,78287,0.15,1.0,0.004
0.026877586581023127,0.028248686902119607,1.2291581241037124,-0.05891734687519423,0.5457576622863819,457.8950692746536,120160,0.7307692307692307,0.1139081111092032,3146909.1855456512,16762542.917814285,14052,0.15,1.5,0.002
0.031134350398920763,0.035780674128141884,1.1722360203219748,-0.06985516372645394,0.5809361232847196,457.8950692746536,120160,0.9230769230769231,0.39915632101012527,3186472.481721905,18168975.511030424,65993,0.15,1.5,0.003
0.03150864626275607,0.040949057713029806,1.0404423726179626,-0.08189430928939653,0.5967882782049206,457.8950692746536,120160,0.9230769230769231,0.48824058015808963,3069987.307262243,18297857.199160274,82610,0.15,1.5,0.004
0.02828902914295428,0.029824936733478375,1.2424369945615559,-0.061446257034774535,0.5545312626940446,457.8950692746536,120160,0.7307692307692307,0.12774810973550607,3168571.788627947,17217020.164797977,16220,0.15,2.0,0.002
0.03234837863307938,0.03801435133843584,1.1602456515801096,-0.0735899740732052,0.5938199640046686,457.8950692746536,120160,0.9230769230769231,0.42692789807167264,3171119.861115523,18590165.81322191,70870,0.15,2.0,0.003
0.032838300776134144,0.044422021974755393,1.0128332055068823,-0.08759771364222771,0.6056455816964352,457.8950692746536,120160,0.9230769230769231,0.5101224307570789,2999091.668150562,18762746.883295983,86491,0.15,2.0,0.004
0.02327366347507498,0.024034935610607253,1.207659784319241,-0.05312790740552813,0.47328066418621306,393.18806030969847,102866,0.0,0.03362696109575242,2750427.3689154387,15653163.946978007,0,0.2,1.0,0.002
0.027549904774748057,0.032120874703082065,1.1153570803591781,-0.06952142663875402,0.5533234515484734,393.18806030969847,102866,0.9230769230769231,0.23420391389208464,3130546.0779316714,16977587.722005595,37324,0.2,1.0,0.003
0.029154995902830105,0.03677917146204056,1.0472465456814333,-0.07480275152832251,0.5702931797416765,393.18806030969847,102866,0.9230769230769231,0.344328634144387,3086131.770592476,17501617.07098032,57203,0.2,1.0,0.004
0.02438056975006475,0.024966148822517204,1.2311191344307033,-0.054485778481044314,0.4781109075071721,393.18806030969847,102866,0.0,0.03346097269204572,2762516.3036192367,15986261.0205401,0,0.2,1.5,0.002
0.029936774768874796,0.03409502372997602,1.1689597336803754,-0.0686155027554016,0.570939160337239,393.18806030969847,102866,0.9230769230769231,0.25594267103960255,3174335.4874003464,17762373.96781929,40814,0.2,1.5,0.003
0.03130601686563428,0.03937015902797025,1.0730549363192188,-0.07472475844176013,0.591864991896035,393.18806030969847,102866,0.9230769230769231,0.3635146041176572,3095247.7563777263,18227978.327072468,60565,0.2,1.5,0.004
0.025397052219207517,0.025921425954818708,1.2475096814190032,-0.056207808744131185,0.4823020255871077,393.18806030969847,102866,0.0,0.03314616709880889,2768422.3030776987,16298060.47735346,0,0.2,2.0,0.002
0.03131009581638766,0.03573407436763683,1.1824443169337995,-0.07161342806898648,0.5810758831319767,393.18806030969847,102866,0.9230769230769231,0.2780019575184161,3181063.4993333966,18229382.495796613,44455,0.2,2.0,0.003
0.03441606263844377,0.04225178286578417,1.1336587381397263,-0.0763450824694725,0.6158598674027604,393.18806030969847,102866,0.9230769230769231,0.3821510952372776,3121999.603424823,19328920.507019736,63808,0.2,2.0,0.004
