group,mean_spread,se,t_stat,p_value,ci_low,ci_high,n_events,n_quarters,tier
2001-2003,0.013905108687100787,0.010742641422369362,1.294384513118555,0.2220457321719358,-0.007150468500743164,0.03496068587494474,26609,12,1
2008-2009,0.014811852513177123,0.029355489750410826,0.5045684006334737,0.6293540665179544,-0.04272490739762809,0.07234861242398234,22532,8,1
2010-2013,0.01712669134948621,0.006797113312205698,2.51970072629678,0.023570372456681143,0.0038043492575630423,0.030449033441409378,44513,16,1
2004-2007,0.040580193526825514,0.006264929951624078,6.477357901871796,1.043321080751447e-05,0.028300930821642322,0.0528594562320087,42457,16,1
1996-2000,0.049199422155120555,0.013703064857719768,3.590395482029959,0.00195060469670838,0.02234141503398981,0.0760574292762513,46600,20,1
