buf_multiplier,base_unit_fraction,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage_vs_initial_capital,pct_liquidity_capped
1.5,0.0045000000000000005,0.06089916232988335,0.0728514550328345,0.8481124532781782,-0.2469572239014638,3.326655673129525,0.2699822380106572
2.0,0.006,0.07180118828511506,0.0902851574829692,0.8134194802461363,-0.29380523131875913,4.775018350254716,0.34994030806860205
2.5,0.0075,0.07930250378758341,0.10677349078783892,0.7684319833493929,-0.33824049740191336,6.198522776908024,0.41528113443787673
3.0,0.009000000000000001,0.08448059970928123,0.12261075925522624,0.7231122824776404,-0.37451444968133274,7.535563932953903,0.46976094109425504
3.5,0.0105,0.08844650234133877,0.13777577498105528,0.6844298155678703,-0.4199952559757055,8.803807753673933,0.5124770695629386
4.0,0.012,0.09134403612436226,0.15248700114708302,0.6499225123471877,-0.47262660042266047,9.958040335223767,0.5496316571062516
5.0,0.015,0.09579910933318403,0.18149484236303398,0.5953194930872927,-0.5709031262420616,11.95359844274169,0.6066738491104446
6.0,0.018000000000000002,0.09827443944491776,0.21160287128403324,0.5493381447132811,-0.6561791353222782,13.566129979038916,0.6458375797105669
7.0,0.021,0.10085030557722585,0.24236022347298922,0.5181133899099764,-0.72283907640844,15.053779862994405,0.6760038435780217
8.0,0.024,0.10289371214378917,0.27565119316519626,0.4934044784463361,-0.785009289230232,16.256276976877444,0.6995020819380952
10.0,0.03,0.07539095698837839,0.3802421882223208,0.3798614576853863,-0.9002018001045332,12.897954706584132,0.6799638936610081
12.0,0.036000000000000004,0.001857446331305912,0.5123072749025228,0.2510965927328479,-0.9309985436755464,6.770133729768328,0.698715895524561
