date,daily_pnl,nav,overlay_notional,daily_return
1995-01-03,-12049.999999999998,9986950.0,5000000.0,-0.001305
1995-01-04,16655.0,10003605.0,5000000.0,0.0016676763175944608
1995-01-05,-560.0,10003045.0,5000000.0,-5.597981927515131e-05
1995-01-06,9075.0,10012120.0,5000000.0,0.0009072237503680129
1995-01-09,5210.0,10017330.0,5000000.0,0.0005203693123933792
1995-01-10,10280.0,10027610.0,5000000.0,0.001026221558039917
1995-01-11,-2270.0,10025340.0,5000000.0,-0.00022637497868385387
1995-01-12,925.0,10026265.0,5000000.0,9.226619745564739e-05
1995-01-13,42715.0,10068980.0,5000000.0,0.004260310295010156
1995-01-16,39150.0,10108130.0,5000000.0,0.003888179338920129
1995-01-17,11390.0,10119520.0,5000000.0,0.0011268157413883676
1995-01-18,-5720.0,10113800.0,5000000.0,-0.0005652442013059908
1995-01-19,-26725.0,10087075.0,5000000.0,-0.0026424291562024164
1995-01-20,-24545.0,10062530.0,5000000.0,-0.002433311936314541
1995-01-23,-1890.0000000000002,10060640.0,5000000.0,-0.00018782552697979533
1995-01-24,9835.0,10070475.0,5000000.0,0.0009775720033715549
1995-01-25,10954.999999999998,10081430.0,5000000.0,0.0010878334934548769
1995-01-26,2745.0,10084175.0,5000000.0,0.00027228280115023366
1995-01-27,18660.0,10102835.0,5000000.0,0.0018504240555127216
1995-01-30,-22210.0,10080625.0,5000000.0,-0.002198392827359845
1995-01-31,19810.0,10100435.0,5000000.0,0.0019651559303118606
1995-02-01,9255.0,10109690.0,5000000.0,0.0009162971693793386
1995-02-02,23115.000000000004,10132805.0,5000000.0,0.0022864202562096364
1995-02-03,61399.99999999999,10194205.0,5000000.0,0.006059526458863069
1995-02-06,30430.0,10224635.0,5000000.0,0.002985029239651351
1995-02-07,-2185.0,10222450.0,5000000.0,-0.00021369955993539135
1995-02-08,7265.0,10229715.0,5000000.0,0.0007106906856966774
1995-02-09,-2670.0,10227045.0,5000000.0,-0.00026100433883055396
1995-02-10,12415.0,10239460.0,5000000.0,0.001213938141467061
1995-02-13,1644.9999999999998,10241105.0,5000000.0,0.00016065300318571487
1995-02-14,5419.999999999999,10246525.0,5000000.0,0.0005292397646543025
1995-02-15,23925.0,10270450.0,5000000.0,0.002334937942375586
1995-02-16,-2265.0,10268185.0,5000000.0,-0.0002205356143109601
1995-02-17,-25385.0,10242800.0,5000000.0,-0.0024721993224703295
1995-02-21,-1410.0000000000002,10241390.0,5000000.0,-0.00013765767173038623
1995-02-22,20465.0,10261855.0,5000000.0,0.0019982639075359888
1995-02-23,23255.0,10285110.0,5000000.0,0.002266159480912564
1995-02-24,8630.0,10293740.0,5000000.0,0.0008390770735558492
1995-02-27,-38895.0,10254845.0,5000000.0,-0.0037785100459113985
1995-02-28,40580.0,10295425.0,5000000.0,0.003957153911151265
1995-03-01,-14880.0,10280545.0,5000000.0,-0.0014453021609112785
1995-03-02,-4165.0,10276380.0,5000000.0,-0.00040513416360708505
1995-03-03,6635.0,10283015.0,5000000.0,0.0006456553766987986
1995-03-06,-4585.0,10278430.0,5000000.0,-0.00044588090166162357
1995-03-07,-34745.0,10243685.0,5000000.0,-0.003380380077502109
1995-03-08,10570.0,10254255.0,5000000.0,0.0010318552356891099
1995-03-09,3650.0,10257905.0,5000000.0,0.00035594979840076145
1995-03-10,55210.0,10313115.0,5000000.0,0.005382190612995538
1995-03-13,4920.0,10318035.0,5000000.0,0.0004770624588206376
1995-03-14,27865.0,10345900.0,5000000.0,0.0027006111144224653
1995-03-15,-5995.0,10339905.0,5000000.0,-0.0005794565963328468
1995-03-16,28555.0,10368460.0,5000000.0,0.002761630788677459
1995-03-17,-2075.0,10366385.0,5000000.0,-0.0002001261518103942
1995-03-20,6635.0,10373020.0,5000000.0,0.0006400495447545119
1995-03-21,-10725.000000000002,10362295.0,5000000.0,-0.001033932258879285
1995-03-22,3720.0,10366015.0,5000000.0,0.0003589938329298674
1995-03-23,5380.0,10371395.0,5000000.0,0.0005190036865661491
1995-03-24,46340.0,10417735.0,5000000.0,0.00446805853985891
1995-03-27,24730.0,10442465.0,5000000.0,0.0023738365393245267
1995-03-28,7910.0,10450375.0,5000000.0,0.0007574839848637271
1995-03-29,-6855.0,10443520.0,5000000.0,-0.000655957322105666
1995-03-30,-1370.0,10442150.0,5000000.0,-0.0001311818237529109
1995-03-31,-12220.0,10429930.0,5000000.0,-0.0011702570830719728
1995-04-03,6920.258555,10436807.265555,5214965.0,0.0006593779205613013
1995-04-04,23316.108515,10460123.37407,5214965.0,0.0022340269319671186
1995-04-05,7525.194495000001,10467648.568565,5214965.0,0.000719417374526809
1995-04-06,4224.12165,10471872.690214999,5214965.0,0.00040354064452301843
