quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1998Q1,10000000.0,1257,ok,0.0,3000000.0,2478200.0,-26330.375
1998Q2,9973669.625,1319,ok,10512.5,2992100.8874999997,2408153.125,-90772.96875
1998Q3,9882896.65625,1036,ok,0.0,2964868.9968749997,2543331.25,-105293.6875
1998Q4,9777602.96875,804,ok,2406.25,2933280.890625,2498703.125,-8517.03125
1999Q1,9769085.9375,902,ok,881.25,2930725.78125,2392553.125,-84153.28125
1999Q2,9684932.65625,989,ok,5993.75,2905479.796875,2253946.875,-14476.09375
1999Q3,9670456.5625,1031,ok,12037.5,2901136.96875,2333418.75,-73457.0625
1999Q4,9596999.5,905,ok,11328.125,2879099.85,2397184.375,-8197.5625
2000Q1,9588801.9375,860,ok,0.0,2876640.58125,1925346.875,-27057.28125
2000Q2,9561744.65625,715,ok,4875.0,2868523.396875,2358975.0,-27201.125
2000Q3,9534543.53125,763,ok,3237.5,2860363.0593749997,2148259.375,-62431.90625
2000Q4,9472111.625,611,ok,0.0,2841633.4875,2490640.0,14429.549999999988
2001Q1,9486541.175,782,ok,0.0,2845962.3525,2397571.25,-50235.88749999998
2001Q2,9436305.287500001,855,ok,0.0,2830891.58625,2421568.75,22882.9375
2001Q3,9459188.225000001,940,ok,869.9999999999999,2837756.4675000003,2560340.0,6505.899999999994
2001Q4,9465694.125000002,919,ok,6222.5,2839708.2375000003,2544922.5,15336.5
2002Q1,9481030.625000002,1078,ok,0.0,2844309.1875000005,2559522.5,8141.825000000012
2002Q2,9489172.450000001,1103,ok,5130.0,2846751.7350000003,2626300.0,-18862.600000000013
2002Q3,9470309.850000001,709,ok,6925.0,2841092.9550000005,2717895.0,112643.4
2002Q4,9582953.250000002,760,ok,2070.0000000000005,2874885.9750000006,2674875.0,37375.84999999999
2003Q1,9620329.100000001,918,ok,0.0,2886098.7300000004,2766875.0,-52781.24999999999
2003Q2,9567547.850000001,1154,ok,0.0,2870264.3550000004,2693975.0,15058.25
2003Q3,9582606.100000001,1258,ok,0.0,2874781.8300000005,2647075.0,7405.25
2003Q4,9590011.350000001,1313,ok,5530.0,2877003.4050000003,2644905.0,2011.25
2004Q1,9592022.600000001,1404,ok,0.0,2877606.7800000003,2636055.0,24473.35000000002
2004Q2,9616495.950000001,1361,ok,11640.0,2884948.785,2671675.0,-30778.550000000003
