cell,day,cumulative_mean,marginal_return
fine:6_4_3,1,0.0003258707062629904,0.0003258707062629904
fine:6_4_3,2,0.0007169329135981403,0.0003910622073351499
fine:6_4_3,3,-1.4231490238650085e-05,-0.0007311644038367904
fine:6_4_3,4,-0.00014559420876069797,-0.00013136271852204787
fine:6_4_3,5,-0.0004333164535849602,-0.00028772224482426223
fine:6_4_3,6,-0.0005723235652840791,-0.0001390071116991189
fine:6_4_3,7,-0.0005741340824812787,-1.8105171971995486e-06
fine:6_4_3,8,-0.0004110734340219459,0.00016306064845933275
fine:6_4_3,9,-6.02892170097204e-06,0.00040504451232097386
fine:6_4_3,10,0.0006289079511538155,0.0006349368728547875
fine:6_4_3,11,0.0005192583090076133,-0.00010964964214620217
fine:6_4_3,12,0.0006688247629252006,0.00014956645391758729
fine:6_4_3,13,0.0009254554537394476,0.00025663069081424705
fine:6_4_3,14,0.001505738236779927,0.0005802827830404794
fine:6_4_3,15,0.00111203690897358,-0.00039370132780634694
fine:6_4_3,16,0.003232864443928835,0.002120827534955255
fine:6_4_3,17,0.003990547400869068,0.0007576829569402328
fine:6_4_3,18,0.0034960864207245965,-0.0004944609801444712
fine:6_4_3,19,0.001950162444475421,-0.0015459239762491755
fine:6_4_3,20,0.0019168244752414177,-3.3337969234003206e-05
fine:6_4_3,21,0.0015617317849843768,-0.00035509269025704097
fine:6_4_3,22,0.0015456918041665507,-1.6039980817826073e-05
fine:6_4_3,23,0.0019822317204602315,0.0004365399162936808
fine:6_4_3,24,0.001809301756960994,-0.00017292996349923748
fine:6_4_3,25,0.0018464091139830015,3.7107357022007426e-05
fine:6_4_3,26,0.0011369574827333295,-0.0007094516312496719
fine:6_4_3,27,0.0008151297581839366,-0.00032182772454939293
fine:6_4_3,28,0.0008009081807383555,-1.4221577445581069e-05
fine:6_4_3,29,0.00035703116724395664,-0.00044387701349439887
fine:6_4_3,30,9.984925356012838e-05,-0.00025718191368382824
fine:6_4_3,31,0.000501817411944025,0.00040196815838389665
fine:6_4_3,32,0.001221395173029182,0.000719577761085157
fine:6_4_3,33,0.0003795876760024555,-0.0008418074970267266
fine:6_4_3,34,0.0010376825735581986,0.0006580948975557432
fine:6_4_3,35,0.0012450011767584088,0.00020731860320021022
fine:6_4_3,36,0.0006467001987299224,-0.0005983009780284864
fine:6_4_3,37,0.000417228625934453,-0.00022947157279546945
fine:6_4_3,38,0.0014770323676628803,0.0010598037417284272
fine:6_4_3,39,0.0024084794379444223,0.000931447070281542
fine:6_4_3,40,0.0041015366640687,0.0016930572261242773
fine:6_4_3,41,0.0047917492259314624,0.0006902125618627629
fine:6_4_3,42,0.003644109762006167,-0.0011476394639252955
fine:6_4_3,43,0.004144949866332145,0.0005008401043259782
fine:6_4_3,44,0.0036711052705746977,-0.00047384459575744746
fine:6_4_3,45,0.004418707862621624,0.0007476025920469267
fine:6_4_3,46,0.004678242302279865,0.00025953443965824087
fine:6_4_3,47,0.0030355937811893086,-0.0016426485210905566
fine:6_4_3,48,0.004610644623542549,0.0015750508423532403
fine:6_4_3,49,0.004539368157825253,-7.127646571729578e-05
fine:6_4_3,50,0.004766132526699156,0.00022676436887390274
fine:6_4_3,51,0.007279979211136443,0.0025138466844372874
fine:6_4_3,52,0.006274015322867716,-0.0010059638882687271
fine:6_4_3,53,0.007312510117965687,0.001038494795097971
fine:6_4_3,54,0.0075594860632121974,0.0002469759452465104
fine:6_4_3,55,0.008600826188586142,0.0010413401253739447
fine:6_4_3,56,0.008914139355506437,0.0003133131669202944
fine:6_4_3,57,0.008172071045655887,-0.00074206830985055
fine:6_4_3,58,0.008317665817094257,0.0001455947714383704
fine:6_4_3,59,0.007566118148181317,-0.0007515476689129398
fine:6_4_3,60,0.006644456250102211,-0.0009216618980791066
