quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,30000.0,0,ok,0,0.0
1995Q2,10000000.0,30000.0,0,ok,0,0.0
1995Q3,10000000.0,30000.0,0,ok,0,0.0
1995Q4,10000000.0,30000.0,0,ok,0,0.0
1996Q1,10000000.0,30000.0,361,ok,0,31584.498010010775
1996Q2,10031584.498010011,30094.753494030036,546,ok,0,214177.19502115448
1996Q3,10245761.693031166,30737.285079093497,1252,ok,0,69865.7225472317
1996Q4,10315627.415578397,30946.882246735193,1593,ok,0,45872.50255623036
1997Q1,10361499.918134628,31084.499754403885,1374,ok,0,53048.87550462715
1997Q2,10414548.793639256,31243.64638091777,1372,ok,0,73952.49147056988
1997Q3,10488501.285109825,31465.503855329476,1356,ok,0,192276.76967319622
1997Q4,10680778.054783022,32042.334164349068,1381,ok,0,331712.68974168616
1998Q1,11012490.744524708,33037.472233574124,1753,ok,0,54766.743439967395
1998Q2,11067257.487964675,33201.77246389403,1342,ok,0,181804.92644747195
1998Q3,11249062.414412146,33747.18724323644,1395,ok,0,158230.76240917144
1998Q4,11407293.176821318,34221.87953046395,1776,ok,0,396151.81235499
1999Q1,11803444.989176307,35410.33496752892,1500,ok,0,-23057.74515205399
1999Q2,11780387.244024253,35341.16173207276,1709,ok,0,-9919.533743846532
1999Q3,11770467.710280405,35311.403130841216,1797,ok,0,188303.64662833675
1999Q4,11958771.356908742,35876.31407072623,1448,ok,0,253743.30549866694
2000Q1,12212514.66240741,36637.54398722223,1793,ok,0,335758.7078217236
2000Q2,12548273.370229132,37644.8201106874,1584,ok,0,452063.60182594426
2000Q3,13000336.972055078,39001.010916165236,1705,ok,0,284011.0042646789
2000Q4,13284347.976319756,39853.04392895927,1267,ok,0,-97762.2970300864
2001Q1,13186585.67928967,39559.757037869014,1391,ok,0,-487242.01774483244
2001Q2,12699343.661544839,38098.03098463452,1540,ok,0,404999.40829206555
2001Q3,13104343.069836905,39313.029209510714,1334,ok,0,258042.4640337782
2001Q4,13362385.533870684,40087.156601612056,1684,ok,0,70176.24534555669
2002Q1,13432561.779216241,40297.68533764873,1309,ok,0,-11720.227607233246
2002Q2,13420841.551609008,40262.52465482702,1598,ok,0,196113.981182621
2002Q3,13616955.53279163,40850.86659837489,1605,ok,0,-81321.8138024117
2002Q4,13535633.718989218,40606.90115696765,1300,ok,0,-375376.51707360387
2003Q1,13160257.201915614,39480.77160574684,1608,ok,0,156485.99220085383
2003Q2,13316743.194116468,39950.229582349406,1296,ok,0,-8771.830962617947
2003Q3,13307971.363153849,39923.91408946155,1611,ok,0,-269545.8797568259
2003Q4,13038425.483397024,39115.27645019107,1707,ok,0,157112.47633067594
2004Q1,13195537.959727699,39586.613879183096,1700,ok,0,169854.27737543685
2004Q2,13365392.237103136,40096.17671130941,1707,ok,0,399221.1538617966
2004Q3,13764613.390964933,41293.8401728948,1480,ok,0,21864.083850503535
2004Q4,13786477.474815436,41359.432424446306,1542,ok,0,196277.3152881783
2005Q1,13982754.790103614,41948.26437031084,1570,ok,0,267000.69725517114
2005Q2,14249755.487358786,42749.26646207636,1696,ok,0,-6938.743515361326
2005Q3,14242816.743843425,42728.450231530274,1902,ok,0,267984.786176898
2005Q4,14510801.530020323,43532.40459006097,1754,ok,0,174603.13188161043
2006Q1,14685404.661901932,44056.2139857058,1743,ok,0,194053.00051483337
2006Q2,14879457.662416765,44638.372987250295,1744,ok,0,149739.64411068562
2006Q3,15029197.30652745,45087.59191958235,1795,ok,0,11867.882773817706
2006Q4,15041065.18930127,45123.19556790381,1807,ok,0,186209.88036846736
2007Q1,15227275.069669737,45681.825209009214,1903,ok,0,232232.785435785
2007Q2,15459507.855105521,46378.523565316566,1957,ok,0,563357.4691993508
2007Q3,16022865.324304871,48068.59597291461,1934,ok,0,272079.7075184472
2007Q4,16294945.031823318,48884.835095469956,1995,ok,0,315521.2751487034
2008Q1,16610466.306972021,49831.398920916065,1861,ok,0,-49013.18861165842
2008Q2,16561453.118360363,49684.35935508109,1935,ok,0,229387.15418744687
2008Q3,16790840.27254781,50372.52081764343,1963,ok,0,297442.7383774846
2008Q4,17088283.010925297,51264.84903277589,1868,ok,0,1103167.2353492805
2009Q1,18191450.246274576,54574.35073882373,1960,ok,0,-300234.02347363165
2009Q2,17891216.222800944,53673.648668402835,1887,ok,0,-53166.807504872384
2009Q3,17838049.41529607,53514.14824588821,1921,ok,0,250898.51306797075
2009Q4,18088947.928364042,54266.843785092125,1922,ok,0,299814.49880681536
2010Q1,18388762.427170858,55166.287281512574,1967,ok,0,1730.64838423748
2010Q2,18390493.075555094,55171.47922666528,1970,ok,0,347360.2611776505
2010Q3,18737853.336732745,56213.560010198235,1970,ok,0,360454.8613378769
2010Q4,19098308.198070623,57294.92459421187,1985,ok,0,110409.2956514975
2011Q1,19208717.493722122,57626.15248116637,1831,ok,0,75533.79511450458
2011Q2,19284251.28883663,57852.753866509884,1871,ok,0,85715.3513327816
2011Q3,19369966.64016941,58109.89992050823,1858,ok,0,-430639.6750061271
2011Q4,18939326.96516328,56817.98089548984,1860,ok,0,146972.42728593867
2012Q1,19086299.39244922,57258.898177347655,1854,ok,0,-136327.48558784876
2012Q2,18949971.90686137,56849.915720584104,1889,ok,0,287660.06057793484
2012Q3,19237631.967439305,57712.89590231792,1898,ok,0,-159521.29792337934
2012Q4,19078110.669515926,57234.33200854778,1887,ok,0,-224454.52366383397
2013Q1,18853656.145852093,56560.96843755628,1873,ok,0,117519.41117292337
2013Q2,18971175.557025015,56913.526671075044,1873,ok,0,215221.2295980032
2013Q3,19186396.78662302,57559.19035986906,1868,ok,0,297765.16762533446
2013Q4,19484161.954248354,58452.48586274506,1873,ok,0,59227.771836808824
2014Q1,19543389.726085164,58630.16917825549,0,ok,0,-46168.658879842886
2014Q2,19497221.06720532,58491.663201615964,0,ok,0,0.0
