buf_multiplier,base_unit_fraction,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage_vs_initial_capital,pct_liquidity_capped
1.5,0.0045000000000000005,0.06666821730895145,0.07363136284269933,0.9135394779594166,-0.22806480715844507,3.8473956591429284,0.29033573071659435
2.0,0.006,0.08002520708491945,0.0909379062869364,0.8922413466538709,-0.26899534727421875,5.649309860817062,0.38325131759019304
2.5,0.0075,0.08915328000129596,0.10725394459183248,0.8500957819925151,-0.3102520444668895,7.410956721159546,0.45642489007949216
3.0,0.009000000000000001,0.09528389560265871,0.12241865800582463,0.8048898061190969,-0.36200826270463426,9.09036834043176,0.5175144862126198
3.5,0.0105,0.10046430854001653,0.136693928330391,0.768893573481087,-0.41601821006871037,10.644652777034697,0.5656465655300935
4.0,0.012,0.1043340588297208,0.15115032806609816,0.7323427957876537,-0.47261748455575503,12.012756436732035,0.6028011530734065
5.0,0.015,0.11087729315117945,0.18123800898341796,0.6708951376397694,-0.5751849965167887,14.445489988320764,0.6605421774451853
6.0,0.018000000000000002,0.1164347209162846,0.21185801532852375,0.6257402656962907,-0.658612290237262,16.548205159549322,0.6993856098768308
7.0,0.021,0.11991590141355757,0.2449086308645069,0.5845007386420573,-0.7314470649510205,18.260251443476243,0.7277465567946889
8.0,0.024,0.11823814710201508,0.2851661391752874,0.5334885931596288,-0.7984848942665347,18.91296416858401,0.7399470052121248
10.0,0.03,0.10085010362668201,0.39593468635252,0.4357548131872523,-0.9010592278871202,16.782014269984607,0.7376466820021548
12.0,0.036000000000000004,0.07026313420247599,0.5894429963425933,0.38195445408147094,-0.9631062252633126,11.43699621009943,0.7160702326529423
