quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,15000.0,0,ok,0,0.0
1995Q2,10000000.0,15000.0,0,ok,0,0.0
1995Q3,10000000.0,15000.0,0,ok,0,0.0
1995Q4,10000000.0,15000.0,0,ok,0,0.0
1996Q1,10000000.0,15000.0,360,ok,0,12783.30813544113
1996Q2,10012783.30813544,15019.174962203162,545,ok,0,372218.9044489355
1996Q3,10385002.212584376,15577.503318876565,1249,ok,0,252902.71708360882
1996Q4,10637904.929667985,15956.857394501978,1581,ok,0,159758.75193525315
1997Q1,10797663.681603238,16196.495522404857,1367,ok,0,-178894.0028716785
1997Q2,10618769.678731559,15928.154518097339,1361,ok,0,361835.2467795515
1997Q3,10980604.92551111,16470.907388266667,1338,ok,0,452429.5066768875
1997Q4,11433034.432187999,17149.551648282,1366,ok,0,264469.2526730697
1998Q1,11697503.684861068,17546.255527291603,1742,ok,0,112392.91727411511
1998Q2,11809896.602135183,17714.844903202775,1330,ok,0,174963.54445111685
1998Q3,11984860.1465863,17977.29021987945,1386,ok,0,107154.43912635402
1998Q4,12092014.585712655,18138.021878568983,1754,ok,0,522447.8657631846
1999Q1,12614462.45147584,18921.69367721376,1486,ok,0,131989.68791255157
1999Q2,12746452.139388392,19119.678209082587,1694,ok,0,267560.53095390927
1999Q3,13014012.6703423,19521.01900551345,1767,ok,0,454549.8617254692
1999Q4,13468562.53206777,20202.843798101654,1424,ok,0,31702.597793965335
2000Q1,13500265.129861735,20250.397694792602,1772,ok,0,473881.9718088766
2000Q2,13974147.101670612,20961.22065250592,1561,ok,0,289934.4146646554
2000Q3,14264081.516335268,21396.1222745029,1684,ok,0,325779.0911605297
2000Q4,14589860.607495798,21884.790911243697,1239,ok,0,-184056.93353319576
2001Q1,14405803.673962602,21608.705510943902,1379,ok,0,-310489.48568094964
2001Q2,14095314.188281653,21142.97128242248,1526,ok,0,482219.1000526865
2001Q3,14577533.28833434,21866.29993250151,1313,ok,0,160915.37571378553
2001Q4,14738448.664048126,22107.67299607219,1671,ok,0,407482.3338725756
2002Q1,15145930.997920701,22718.896496881054,1297,ok,0,-124469.82910506408
2002Q2,15021461.168815637,22532.191753223455,1594,ok,0,513571.8781530625
