buf_multiplier,base_unit_fraction,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage_vs_initial_capital,pct_liquidity_capped
1.5,0.003,0.0678415882308705,0.06289354920339908,1.075273304413179,-0.20425120629936983,4.409106130525164,0.08745494911051524
2.0,0.004,0.0804865565830486,0.07971149911909296,1.0112055591016809,-0.2636035200459393,6.666747688286679,0.12139088314159675
2.5,0.005,0.09136244167459084,0.09500057778931988,0.9680026353170077,-0.31541219839661455,9.292272767794298,0.15517688781247296
3.0,0.006,0.10000106557952027,0.10912990433788235,0.928175272860879,-0.35949647520059874,12.138807859715861,0.18768849292160425
3.5,0.007,0.10696633774400177,0.12252679351364607,0.8909021448194924,-0.399984254089492,15.092941523424415,0.21794539111380215
4.0,0.008,0.11268688596078169,0.13571167232440698,0.8548996351552579,-0.4404158300048868,18.01755288069455,0.2446097511749272
5.0,0.01,0.12270043952056597,0.16052344955441208,0.8015089302462848,-0.5116415333130114,23.900369069876994,0.28961739180578383
6.0,0.012,0.12076316537550635,0.18592530016427208,0.7063745377505981,-0.5871509626073231,26.32742658760364,0.3198915895395439
7.0,0.014,0.12208855604639579,0.20851905503558504,0.6568041753576565,-0.6541951075566522,26.7854173111052,0.36288095032148315
8.0,0.016,0.11294771349119803,0.23228872762353392,0.5766704163427381,-0.7125098490801826,23.517074749321818,0.4065046276273679
10.0,0.02,0.06832272583314047,0.2962477253446256,0.3699318730575258,-0.8206013447451582,13.817007721243218,0.47882824438485716
12.0,0.024,0.05854896589044567,0.30649113433697156,0.3382680464825773,-0.8363805722135204,11.748069354859418,0.5201856817461004
