hold_horizon_days,n_positions_eligible,n_positions_sized,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,final_nav,half_kelly_multiplier,assumed_roundtrip_cost_pct,max_premium_frac,max_outstanding_premium_frac
1,83882,80813,-0.05906977512500025,-0.0036430495550456854,0.0092900990729991,-0.3882185562605201,-0.09502411439606412,9409302.248749997,0.5,0.03,0.4,0.3887300629839141
5,83841,82259,0.7955947593749992,0.03570956575140505,0.022838951397231726,1.5477391898959965,-0.067598533988114,17955947.593749993,0.5,0.03,0.4,0.3905107784241306
10,83763,82618,1.8998615323749979,0.06589945275796016,0.03658773835612078,1.7626732862420427,-0.09371195500509093,28998615.323749978,0.5,0.03,0.4,0.3919067601080034
20,83127,82122,4.769103747749989,0.1107672089423295,0.046096926509097254,2.3023216425951825,-0.17096490040616916,57691037.477499895,0.5,0.03,0.4,0.39522333288494377
40,81695,80426,10.258818726999984,0.156190885654113,0.05255268894525533,2.7886355431587213,-0.19058329235019472,112588187.26999983,0.5,0.03,0.4,0.3999881409338489
60,81605,76825,10.541439969,0.15791040627657926,0.04503093935592488,3.2793201963791914,-0.2385825375724861,115414399.69000001,0.5,0.03,0.4,0.39510902784663904
