quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,4000000.0,0.0,0.0
1998Q1,10000000.0,1311,ok,0.0,4000000.0,3480421.875,1246171.71875
1998Q2,11246171.71875,1278,ok,1900996.875,4498468.6875,3891096.875,-372556.125
1998Q3,10873615.59375,1058,ok,512153.125,4349446.2375,3919100.0,-884102.15625
1998Q4,9989513.4375,816,ok,746706.25,3995805.375,3552296.875,815432.28125
1999Q1,10804945.71875,932,ok,842084.375,4321978.287500001,3765271.875,-265745.625
1999Q2,10539200.09375,995,ok,1194559.375,4215680.037500001,3556950.0,400056.40625
1999Q3,10939256.5,1090,ok,585931.25,4375702.600000001,3818796.875,-390526.59375
1999Q4,10548729.90625,936,ok,675221.875,4219491.9625,3733203.125,634607.4375
2000Q1,11183337.34375,934,ok,748168.75,4473334.9375,3504140.625,659464.59375
2000Q2,11842801.9375,741,ok,1069640.625,4737120.775,4221637.5,-76628.65625
2000Q3,11766173.28125,834,ok,597206.25,4706469.3125,3976706.25,367431.875
2000Q4,12133605.15625,630,ok,816009.375,4853442.0625,4508750.625,607839.0125
2001Q1,12741444.16875,828,ok,888305.0,5096577.6675,4635046.875,-642301.63125
2001Q2,12099142.5375,873,ok,1450972.5,4839657.015,4410751.25,-17005.86249999999
2001Q3,12082136.674999999,955,ok,862352.5,4832854.67,4546617.5,-615472.95
2001Q4,11466663.725,924,ok,1259152.5,4586665.49,4288432.5,693461.6
2002Q1,12160125.325,1093,ok,995620.0,4864050.13,4591797.5,1413477.175
2002Q2,13573602.5,1114,ok,1724497.5,5429441.0,5196447.5,-646296.0
2002Q3,12927306.5,712,ok,756197.5,5170922.600000001,5049895.0,796519.075
2002Q4,13723825.575,774,ok,1066275.0,5489530.23,5285682.5,-332512.225
2003Q1,13391313.35,920,ok,1296232.5,5356525.34,5238872.5,-296726.7
2003Q2,13094586.65,1161,ok,1731822.5,5237834.66,5063482.5,4206177.7
2003Q3,17300764.35,1277,ok,906497.5,6920305.740000001,6700495.0,1467740.075
2003Q4,18768504.425,1331,ok,1506262.5,7507401.7700000005,7274782.5,3118304.4
2004Q1,21886808.825,1425,ok,1521627.5,8754723.53,8507677.5,842498.5
2004Q2,22729307.325,1376,ok,3223092.5,9091722.93,8887255.0,738365.125
2004Q3,23467672.45,1331,ok,1556185.0,9387068.98,9200252.5,1849505.475
2004Q4,25317177.925,1477,ok,1786747.5,10126871.170000002,9885847.5,8252964.5
2005Q1,33570142.425,1524,ok,2140737.5,13428056.969999999,13216925.0,1271749.375
2005Q2,34841891.8,1472,ok,6674952.5,13936756.719999999,13756440.0,2786930.375
2005Q3,37628822.175,1617,ok,1944555.0,15051528.87,14776355.0,618413.5
2005Q4,38247235.675,1531,ok,2718852.5,15298894.27,15006455.0,5493504.425
2006Q1,43740740.099999994,1664,ok,4468790.0,17496296.04,17114820.0,1963669.1
2006Q2,45704409.199999996,1699,ok,7093292.5,18281763.68,17884795.0,-2186765.075
2006Q3,43517644.12499999,1524,ok,2952252.5,17407057.65,17080227.5,2143995.75
2006Q4,45661639.87499999,1770,ok,4009362.5,18264655.95,17865300.0,3943054.375
2007Q1,49604694.24999999,1832,ok,5730430.0,19841877.7,19515104.5,976708.765
2007Q2,50581403.01499999,1945,ok,8813639.5,20232561.206,19888873.0,5918856.495
2007Q3,56500259.50999999,1743,ok,3379603.0,22600103.803999998,22114510.5,1528996.275
2007Q4,58029255.78499999,1718,ok,6035418.5,23211702.313999996,22466130.5,-1053081.86
2008Q1,56976173.92499999,1552,ok,5308559.0,22790469.569999997,22157186.0,-2962683.81
2008Q2,54013490.11499999,1703,ok,11863881.0,21605396.045999996,20810949.5,1953988.445
2008Q3,55967478.55999999,1482,ok,3674864.0,22386991.423999995,21625723.5,-1719687.7850000001
2008Q4,54247790.77499999,617,ok,7076462.5,21699116.31,21296412.0,-4343609.485
2009Q1,49904181.28999999,915,ok,5953497.0,19961672.516,19432541.5,-722145.835
2009Q2,49182035.45499999,1402,ok,9500977.0,19672814.181999996,18906062.0,2888626.95
2009Q3,52070662.404999994,1694,ok,3899277.0,20828264.961999997,20234390.5,3272015.0949999997
2009Q4,55342677.49999999,1687,ok,6371149.5,22137071.0,21544920.0,3654487.885
2010Q1,58997165.38499999,1903,ok,5875377.5,23598866.154,23224444.0,6654446.005
2010Q2,65651611.38999999,1919,ok,12170963.5,26260644.555999998,25755476.5,1241779.1099999999
2010Q3,66893390.49999999,1842,ok,5438960.5,26757356.2,26309189.5,1437354.63
2010Q4,68330745.13,1986,ok,7822954.0,27332298.052,26825912.0,6928707.26
2012Q1,75259452.39,2011,ok,7267696.0,30103780.956,29565294.5,1887768.045
2012Q2,77147220.435,2022,ok,15076765.5,30858888.174000002,30310698.0,-594374.975
2012Q3,76552845.46000001,2012,ok,5009625.5,30621138.184000004,30085952.0,7603408.205
2012Q4,84156253.665,2062,ok,9319276.0,33662501.466000006,33197508.5,854237.025
2013Q1,85010490.69000001,2155,ok,10627000.0,34004196.27600001,33633953.0,14581889.91
2013Q2,99592380.60000001,2290,ok,18386547.0,39836952.24,39454278.0,13491397.07
2013Q3,113083777.67000002,7,ok,8687440.0,45233511.06800001,45232170.0,-495590.39999999804
