base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_liquidity_capped,n_quarters_leverage_capped,total_transaction_costs,final_nav,strategy
0.001,0.01,0.016055886333485647,0.02194143059395227,0.8511581638323183,-0.06534216265510663,0.4755414944002546,0.20522377194770405,0,740248.2816577369,13637300.838317567,extreme
0.0015,0.01,0.022182307959986325,0.03340719214050322,0.8193717653507593,-0.08568906965093807,0.7141736385574338,0.2877442273534636,0,1074012.202783866,15331200.090393636,extreme
0.002,0.01,0.0272778391285462,0.04510281434992444,0.7843817661230368,-0.10336809324892207,0.9487850131067885,0.3565792155606674,0,1387257.5030237772,16890252.61778928,extreme
0.0025,0.01,0.03113954102089367,0.05666048402934987,0.7404197521393876,-0.12128475048390323,1.172091636722841,0.4110590222170457,0,1671774.4083480474,18170756.900149316,extreme
0.003,0.01,0.03446383338600523,0.06831871355723004,0.7024196159204084,-0.13815262652922222,1.3870739205671965,0.4590746294732551,0,1936492.6101329613,19346313.074119896,extreme
0.004,0.01,0.038539313261320984,0.0887415888613726,0.6298529133182432,-0.17041058730959566,1.752680902087982,0.6173019247008124,10,2367230.4403804904,20886050.78343883,extreme
0.005,0.01,0.039249042174501536,0.10179184833130231,0.5632133731531439,-0.21371201884164473,1.9388984390986554,0.8202544914538625,34,2549517.492437997,21165803.274090424,extreme
0.001,0.01,0.027198776309976358,0.04086994160638387,0.8624412712482303,-0.10379100335650235,1.2923781786930375,0.10941960038058991,0,2222957.7825587923,16864952.89404472,rankweighted
0.0015,0.01,0.03406839181068544,0.05870256164261485,0.8049301937899992,-0.129928574779657,1.8160079451825417,0.7749560303318629,48,3005363.1571728378,19202785.1935497,rankweighted
0.002,0.01,0.03364815018399159,0.061517396551968716,0.7554609860241924,-0.14842822888260343,1.8490281388366923,0.9944814462416746,70,2982838.001883543,19051363.409632258,rankweighted
0.0025,0.01,0.03263885809526745,0.061275214565002296,0.7283602883866144,-0.15055702654533842,1.8247781939617087,0.9947178733096906,70,2886684.4052223065,18692308.13198588,rankweighted
0.003,0.01,0.03187408706871642,0.06121400576482106,0.7066277242389676,-0.15332308657358198,1.8061707102459423,0.9950465645993715,70,2809300.742196395,18424526.21729759,rankweighted
0.004,0.01,0.030485263746397928,0.061046340326005796,0.6684480411117051,-0.15912960157603442,1.7685709108384158,0.9954732866245711,70,2676068.4235697547,17947514.001264017,rankweighted
0.005,0.01,0.029293187743445692,0.06086934564796997,0.6366448999028944,-0.16501796489320603,1.7370271428412092,0.9958481100250843,70,2571324.424761882,17547444.196708318,rankweighted
0.001,0.01,0.01511093626759008,0.020843241923017234,0.8356748163444505,-0.06135098404131409,0.4374846775809071,0.2026031505692572,0,675438.7160281054,13392396.427481197,balanced
0.0015,0.01,0.02003008550498664,0.03165098215837851,0.7648079841050257,-0.09043561271024896,0.6433687511259575,0.2729231575575809,0,965803.1340755167,14714586.599301374,balanced
0.002,0.01,0.02417241669707204,0.04240917943714973,0.7171106314515399,-0.11308943946316997,0.8449240684080513,0.333080977200594,0,1238984.9177141187,15923113.352007661,balanced
0.0025,0.01,0.02714694592272804,0.05298678197763951,0.6636158221437106,-0.1333363869621239,1.0348699119430569,0.38170806277844105,0,1487419.2448907783,16848386.931380898,balanced
0.003,0.01,0.029569747710797456,0.06338620507013287,0.6188225251502804,-0.15252731291144903,1.2153340186105257,0.42390006697143523,0,1716285.8465157812,17639498.998003803,balanced
0.004,0.01,0.032975830227309544,0.08368268833737447,0.5406404374409762,-0.18754548830003884,1.5460661431467928,0.4911626823515709,0,2120790.298412045,18811465.856496476,balanced
0.005,0.01,0.034461483999336684,0.10107280395008515,0.4747470039725985,-0.21755226066113467,1.795337114080212,0.748449465684419,25,2406209.3625574955,19345457.352900386,balanced
