horizon,mean_spread,se,t_stat,n_quarters,n_d1,n_d10
1,0.008345012608173216,0.000765318993043582,10.90396642971854,72,18170,18173
5,0.01543276414142382,0.0012618470891122223,12.230296582355002,72,18156,18167
10,0.01701449575194664,0.001672531533692679,10.172899828310793,72,18123,18153
20,0.019605420416256833,0.002241952398218308,8.744797807409903,72,18080,18118
40,0.023632556325885384,0.004192960555928563,5.6362458007077,72,17963,18048
60,0.030453537853805904,0.005802354887238908,5.248479013371317,72,17831,17971
