name,n_positions,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_gross_exposure,avg_leverage_vs_initial_capital,avg_n_open_positions,max_n_open_positions,total_transaction_costs,annual_turnover_x_capital,pct_liquidity_capped,final_nav,n_quarters_leverage_capped,max_nav_check_diff,trim,tilt_power,base_unit_fraction,liquidity_cap_frac,total_positions_dropped_by_priority_cap,ml_blend_weight,max_gross_leverage,sweep_search_sharpe,sweep_holdout_sharpe
extreme,34343,1.5432376367219407,0.049094205939049784,0.1041976827824803,0.7604501190031218,-0.18479505253775402,22103456.011446882,2.210345601144688,457.78932355338225,825,3476377.3974800548,17.75578473313298,0.34956177386949305,25432376.367219407,12,2.2351741790771484e-08,,,,,,,,,
rankweighted,173415,1.0996808339894808,0.0388213761505698,0.06452376845497551,0.8750702486702858,-0.13962889570946585,20066061.95199777,2.0066061951997773,1934.0941320293398,3547,3577067.750407052,17.72454829520834,0.9932012801660756,20996808.33989481,70,2.60770320892334e-08,,,,,,,,,
balanced,34343,1.4622255822006338,0.04735190613815732,0.09837092638730147,0.7632092111699125,-0.17533114792058116,20224763.320588227,2.022476332058823,457.78932355338225,825,3158624.502462075,16.111896174313905,0.18297760824622195,24622255.822006337,0,2.60770320892334e-08,,,,,,,,,
strategy4_tilted,119130,1.7147442313906933,0.05261535259622896,0.08642794704408607,1.018687882292674,-0.13069567778981514,24912033.863095053,2.4912033863095053,1406.0562347188263,2586,4456823.176114276,21.02552138790838,0.08520600870743592,27147442.313906934,46,,0.15,1.0,0.002,0.05,6763.0,,,,
strategy5_size_sector_neutral,119130,1.1709851638994582,0.040604165005516446,0.05134982447972894,1.1708692917633894,-0.10831499898947901,15922134.74908865,1.592213474908865,1406.0562347188263,2586,2848909.235899073,13.601607996550939,0.03149669867081856,21709851.638994582,0,,0.15,1.0,0.0015,0.05,0.0,,,,
strategy6_leverage25x,119130,2.4048037354128526,0.06492771889104043,0.12084947947795689,1.02171751966166,-0.16625828046264454,40002725.772588246,4.000272577258825,1406.0562347188263,2586,6845799.205628588,35.102086636041385,0.07249661217311075,34048037.354128525,0,,0.15,1.0,0.003,0.05,0.0,,,,
strategy8_gpu_ml_signal,120016,0.9582356522697285,0.03510815725854188,0.037709253901231844,0.9340072296609883,-0.12929951368313672,16210746.101639146,1.6210746101639146,1395.189282803586,2915,2836060.0654542255,13.825368572865123,0.4025970529036775,19582356.522697285,60,,0.1,1.5,0.002,0.05,55679.0,0.0,1.5,1.1376139308183253,0.4239011197048135
