quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,quarter_realized_pnl
1996Q1,10000000.0,15000.0,22,priority_capped,-15419.90625
1996Q2,9984580.09375,14976.870140625,20,priority_capped,834188.0625
1996Q3,10818768.15625,16228.152234375,23,priority_capped,328195.0625
1996Q4,11146963.21875,16720.444828125,21,priority_capped,408460.5625
1997Q1,11555423.78125,17333.135671875,22,priority_capped,-293275.21875
1997Q2,11262148.5625,16893.22284375,27,priority_capped,800834.125
1997Q3,12062982.6875,18094.47403125,25,priority_capped,-183956.25
1997Q4,11879026.4375,17818.53965625,23,priority_capped,-48049.3125
1998Q1,11830977.125,17746.4656875,23,priority_capped,-626484.03125
1998Q2,11204493.09375,16806.739640625,32,priority_capped,391427.875
1998Q3,11595920.96875,17393.881453125,27,priority_capped,363524.15625
1998Q4,11959445.125,17939.1676875,33,priority_capped,471159.3125
1999Q1,12430604.4375,18645.90665625,32,priority_capped,-499258.34375
1999Q2,11931346.09375,17897.019140625,28,priority_capped,-235379.8125
1999Q3,11695966.28125,17543.949421875,28,priority_capped,89873.375
1999Q4,11785839.65625,17678.759484375,33,priority_capped,-262066.09375
2000Q1,11523773.5625,17285.66034375,26,priority_capped,1107703.09375
2000Q2,12631476.65625,18947.214984375,26,priority_capped,-713615.875
2000Q3,11917860.78125,17876.791171875,21,priority_capped,-360522.0
2000Q4,11557338.78125,17336.008171875,19,priority_capped,-293032.6875
2001Q1,11264306.09375,16896.459140625,21,priority_capped,-479746.55625
2001Q2,10784559.5375,16176.83930625,19,priority_capped,-369903.4749999999
2001Q3,10414656.0625,15621.984093750001,25,priority_capped,379981.87499999994
2001Q4,10794637.9375,16191.95690625,18,priority_capped,395144.87500000006
2002Q1,11189782.8125,16784.67421875,22,priority_capped,618435.425
2002Q2,11808218.2375,17712.32735625,19,priority_capped,-224020.22499999998
2002Q3,11584198.012500001,17376.297018750003,20,priority_capped,83304.225
2002Q4,11667502.2375,17501.253356250003,30,priority_capped,-437161.6250000001
2003Q1,11230340.6125,16845.510918750002,27,priority_capped,-92043.325
2003Q2,11138297.287500001,16707.445931250004,21,priority_capped,1317295.45
2003Q3,12455592.7375,18683.38910625,19,priority_capped,77404.80000000003
2003Q4,12532997.537500001,18799.496306250003,18,priority_capped,66838.525
2004Q1,12599836.062500002,18899.75409375,19,priority_capped,115361.95000000004
2004Q2,12715198.012500001,19072.797018750003,19,priority_capped,44116.27499999985
2004Q3,12759314.287500001,19138.971431250004,28,priority_capped,-283083.9500000001
2004Q4,12476230.337500002,18714.345506250003,27,priority_capped,1414547.775
2005Q1,13890778.112500003,20836.167168750006,29,priority_capped,-36400.225000000035
2005Q2,13854377.887500003,20781.566831250006,28,priority_capped,78176.22500000006
2005Q3,13932554.112500003,20898.831168750003,25,priority_capped,-68979.70000000003
2005Q4,13863574.412500003,20795.361618750005,29,priority_capped,612607.475
2006Q1,14476181.887500003,21714.272831250004,31,priority_capped,580948.75
2006Q2,15057130.637500003,22585.695956250005,28,priority_capped,158276.625
2006Q3,15215407.262500003,22823.110893750007,38,priority_capped,-70040.27500000005
2006Q4,15145366.987500003,22718.050481250004,33,priority_capped,223253.5500000001
2007Q1,15368620.537500003,23052.930806250006,34,priority_capped,314863.5249999999
2007Q2,15683484.062500004,23525.226093750007,34,priority_capped,1106727.575
2007Q3,16790211.637500003,25185.317456250006,35,priority_capped,192285.375
2007Q4,16982497.012500003,25473.745518750005,41,priority_capped,1346373.975
2008Q1,18328870.987500004,27493.30648125001,40,priority_capped,-1135123.275
2008Q2,17193747.712500006,25790.621568750008,34,priority_capped,803439.9
2008Q3,17997187.612500004,26995.781418750008,32,priority_capped,1024767.745
2008Q4,19021955.357500006,28532.933036250008,49,priority_capped,-277513.29999999993
2009Q1,18744442.057500005,28116.663086250006,35,priority_capped,319842.95
2009Q2,19064285.007500004,28596.427511250007,40,priority_capped,1035715.65
2009Q3,20100000.657500003,30150.000986250005,35,priority_capped,527051.5000000001
2009Q4,20627052.157500003,30940.578236250003,28,priority_capped,-67478.99999999987
2010Q1,20559573.157500003,30839.359736250004,50,priority_capped,-128846.59999999995
2010Q2,20430726.5575,30646.08983625,48,priority_capped,590670.7299999999
2010Q3,21021397.2875,31532.09593125,40,priority_capped,-335500.87000000005
2010Q4,20685896.4175,31028.84462625,40,priority_capped,199267.9250000001
2012Q1,20885164.3425,31327.746513750004,51,priority_capped,147304.89499999996
2012Q2,21032469.2375,31548.703856250002,54,priority_capped,180045.975
2012Q3,21212515.212500002,31818.772818750003,51,priority_capped,698140.5249999999
2012Q4,21910655.7375,32865.98360625,43,priority_capped,-486285.015
2013Q1,21424370.7225,32136.55608375,44,priority_capped,90502.40000000026
2013Q2,21514873.1225,32272.309683749998,44,priority_capped,9567.699999999866
2013Q3,21524440.822499998,32286.661233749997,6,ok,-105566.42499999992
