date,daily_pnl,nav,daily_return
1996-01-02,0.0,10000000.0,0.0
1996-01-03,0.0,10000000.0,0.0
1996-01-04,0.0,10000000.0,0.0
1996-01-05,0.0,10000000.0,0.0
1996-01-08,0.0,10000000.0,0.0
1996-01-09,0.0,10000000.0,0.0
1996-01-10,0.0,10000000.0,0.0
1996-01-11,0.0,10000000.0,0.0
1996-01-12,0.0,10000000.0,0.0
1996-01-15,0.0,10000000.0,0.0
1996-01-16,0.0,10000000.0,0.0
1996-01-17,-1897.03125,9998102.96875,-0.000189703125
1996-01-18,-20773.375,9977329.59375,-0.0020777316521873312
1996-01-19,-7700.0,9969629.59375,-0.0007717495876675694
1996-01-22,0.0,9969629.59375,0.0
1996-01-23,0.0,9969629.59375,0.0
1996-01-24,2218.75,9971848.34375,0.0002225508961126242
1996-01-25,-1894.875,9969953.46875,-0.00019002244465416888
1996-01-26,-13969.9375,9955983.53125,-0.0014012038816216767
1996-01-29,6267.5,9962251.03125,0.0006295209288291278
1996-01-30,4937.5,9967188.53125,0.0004956209178539917
1996-01-31,25297.625,9992486.15625,0.0025380903472112196
1996-02-01,-24860.9375,9967625.21875,-0.0024879631666489955
1996-02-02,14956.8125,9982582.03125,0.0015005392128773954
1996-02-05,21584.375,10004166.40625,0.002162203619507572
1996-02-06,0.0,10004166.40625,0.0
1996-02-07,14250.0,10018416.40625,0.0014244065343712656
1996-02-08,-2421.875,10015994.53125,-0.00024174229756402526
1996-02-09,4072.96875,10020067.5,0.00040664646304391423
1996-02-12,-8781.25,10011286.25,-0.0008763663518234783
1996-02-13,-1896.75,10009389.5,-0.0001894611693876998
1996-02-14,-6271.625,10003117.875,-0.0006265741781754022
1996-02-15,-21292.25,9981825.625,-0.002128561341180837
1996-02-16,18121.875,9999947.5,0.0018154870342167494
1996-02-20,0.0,9999947.5,0.0
1996-02-21,7903.125,10007850.625,0.0007903166491624081
1996-02-22,-35125.0,9972725.625,-0.003509744631105543
1996-02-23,4104.59375,9976830.21875,0.00041158193901479165
1996-02-26,-5978.125,9970852.09375,-0.0005992008352277043
1996-02-27,37031.25,10007883.34375,0.003713950387771993
1996-02-28,-18440.625,9989442.71875,-0.0018426099072703832
1996-02-29,30008.0,10019450.71875,0.003003971377069467
1996-03-01,32446.875,10051897.59375,0.0032383886014110746
1996-03-04,-9171.875,10042725.71875,-0.0009124520931951024
1996-03-05,0.0,10042725.71875,0.0
1996-03-06,0.0,10042725.71875,0.0
