kind,horizon,mean_spread,se,t_stat,n_quarters,n_d1,n_d10
rr_ret_fwd,1,0.008420956031412115,0.0007680343131311697,10.96429663029122,67,11351,12056
rr_ret_fwd,5,0.014525155123702685,0.0014418335517622867,10.074085948374039,67,11289,12035
rr_ret_fwd,10,0.01443205186775735,0.0016749187627046742,8.616568271318627,67,11179,11968
rr_ret_fwd,20,0.015016225193407107,0.0026331099477259054,5.7028477699444045,67,10881,11755
rr_ret_fwd,40,0.01325684510900609,0.003949898497317236,3.3562495638837593,67,10091,11135
rr_ret_fwd,60,0.014643818601024556,0.005556791747672953,2.635300955296197,65,8888,10093
rr_ret_net_fwd,1,0.016745880736215676,0.001137807926094469,14.717669258726287,67,11351,12056
rr_ret_net_fwd,5,0.022707475402449537,0.0016817066056573728,13.502637931051755,67,11289,12035
rr_ret_net_fwd,10,0.02257652735636202,0.001867458059737497,12.089442779526482,67,11179,11968
rr_ret_net_fwd,20,0.023001778168755965,0.0028404714790446627,8.097873306755456,67,10881,11755
rr_ret_net_fwd,40,0.020773352294416483,0.004003915140706033,5.188259881740001,67,10091,11135
rr_ret_net_fwd,60,0.021959168191933824,0.005406265937708629,4.061799483219819,65,8888,10093
rr_ret_mktadj_fwd,1,0.00850315784323357,0.0007741227356920417,10.984250237311544,67,11350,12056
rr_ret_mktadj_fwd,5,0.014002121747044866,0.0012755534065520533,10.977291640727127,67,11287,12035
rr_ret_mktadj_fwd,10,0.014353156764619011,0.0016744947325476088,8.571634467181536,67,11176,11968
rr_ret_mktadj_fwd,20,0.01533278116740649,0.002324548752832996,6.596024776301197,67,10877,11753
rr_ret_mktadj_fwd,40,0.01299372832054323,0.0037696280402208793,3.4469523735243306,67,10086,11132
rr_ret_mktadj_fwd,60,0.014681578679995654,0.005428229634557237,2.704671627473104,65,8880,10090
rr_ret_net_mktadj_fwd,1,0.01682868565189018,0.0011125319541712292,15.126473975685993,67,11350,12056
rr_ret_net_mktadj_fwd,5,0.022186042726605563,0.0014942367318083495,14.847742833731342,67,11287,12035
rr_ret_net_mktadj_fwd,10,0.0224884162302771,0.001890791012437607,11.893655132877452,67,11176,11968
rr_ret_net_mktadj_fwd,20,0.02330694549219239,0.0025265638647077363,9.224760085329747,67,10877,11753
rr_ret_net_mktadj_fwd,40,0.020496226343581694,0.0038095716831230437,5.380191803289319,67,10086,11132
rr_ret_net_mktadj_fwd,60,0.021950884068364762,0.00526367856327309,4.170255422039894,65,8880,10090
