w_equity,w_options,w_beta,sharpe,annualized_return,annualized_vol,max_drawdown
0.0,0.0,0.0,,0.0,0.0,0.0
0.0,0.0,0.25,0.41037631838789385,0.02774595754636966,0.07322415678388526,-0.2693492857212675
0.0,0.0,0.5,0.4232759196297144,0.047177927882744664,0.12836248874446055,-0.42156354743025254
0.0,0.0,0.75,0.43544010514896325,0.062214334047986375,0.17286589438544245,-0.5194054155203073
0.0,0.0,1.0,0.44667872769407285,0.07451465458443685,0.21022447991895785,-0.5875935323984789
0.0,0.5,0.0,1.0653394500865707,0.06322268173480561,0.059183340192892,-0.16170610482408976
0.0,0.5,0.25,1.0693352738590205,0.07535782187684537,0.07025177317135207,-0.23236773335121244
0.0,0.5,0.5,0.8965886767723212,0.08566731486059886,0.09691993740280465,-0.2909747327508594
0.0,0.5,0.75,0.7861532596753613,0.094640628045489,0.12496401232400677,-0.3472464262594423
0.0,0.5,1.0,0.7211075885553151,0.10259227654425174,0.15131781626379312,-0.4121929754124065
0.0,1.0,0.0,1.0383971694060687,0.0952722935655419,0.0916518555005729,-0.25897545428902274
0.0,1.0,0.25,1.1151354880251927,0.10315658004218808,0.09180451026006091,-0.30159217758692725
0.0,1.0,0.5,1.067146296086454,0.11024687704296854,0.10296596491929363,-0.34250077393692663
0.0,1.0,0.75,0.9865705634180545,0.11669236454032106,0.11906229289585027,-0.3758918394707437
0.0,1.0,1.0,0.9144427311039106,0.12260346945996581,0.13669877707802325,-0.4043517321360979
0.0,2.0,0.0,0.9940995797930895,0.1338753455078716,0.13549908894955098,-0.3703668727298554
0.0,2.0,0.25,1.0608242867514022,0.1385723754787973,0.13025291068876788,-0.38850900599839366
0.0,2.0,0.5,1.0882088285787577,0.14298442844134418,0.13059667152890417,-0.41046755477966074
0.0,2.0,0.75,1.084565717471599,0.14714503638780085,0.13493686875412145,-0.43111316923676946
0.0,2.0,1.0,1.0623378930705063,0.1510820922045073,0.14190980117242172,-0.44887526226098295
0.0,3.0,0.0,0.9644543841366975,0.1588973694361766,0.16714891499743778,-0.432355640776349
0.0,3.0,0.25,1.0164872216017165,0.1622677733610498,0.16042505289333536,-0.4420985494145011
0.0,3.0,0.5,1.0515278051999688,0.16549182494701542,0.15728160684696596,-0.4522725980250493
0.0,3.0,0.75,1.070328137481051,0.1685820632856696,0.1569819043412725,-0.4666175044805354
0.0,3.0,1.0,1.0755946800715632,0.17154946798109205,0.1588754387177373,-0.4792997984286595
0.0,4.0,0.0,0.9434790309272115,0.17755917676726263,0.19251036128765492,-0.47184203761396687
0.0,4.0,0.25,0.9854741836091024,0.18019781765588871,0.1852677311391457,-0.47738349212989784
0.0,4.0,0.5,1.018367972910532,0.18274724002541198,0.18062760112261478,-0.4834887840842353
