kind,horizon,decile,mean,se,t_stat,n_events,n_quarters
rr_ret_fwd,1,1,-0.00464459008008198,0.0006787417178868357,-6.842941810829369,11351,67
rr_ret_fwd,1,2,-0.0025373994860446395,0.0005796891525430309,-4.377172619003399,12003,67
rr_ret_fwd,1,3,-0.001914341823824052,0.0005639203720023893,-3.394702370880017,11203,67
rr_ret_fwd,1,4,-0.0010422702115390596,0.0005388666125833969,-1.934189625410786,15497,67
rr_ret_fwd,1,5,0.0002386261131957972,0.000575879875457694,0.4143678627528762,10678,67
rr_ret_fwd,1,6,0.0007098622399383392,0.0006442315380186553,1.1018744008117518,13315,67
rr_ret_fwd,1,7,0.0018549420279861627,0.0006039606423745715,3.071296203496225,12826,67
rr_ret_fwd,1,8,0.001492690941409194,0.0005553421057536945,2.687876402570549,12213,67
rr_ret_fwd,1,9,0.002585344133899084,0.0005607285904914691,4.610687198298688,13111,67
rr_ret_fwd,1,10,0.0037763659513301343,0.000700711682516646,5.389329228488243,12056,67
rr_ret_fwd,5,1,-0.005536490574795031,0.002059752496994651,-2.687939732017914,11289,67
rr_ret_fwd,5,2,-0.003302896810766373,0.0018776525861079895,-1.7590564064956442,11918,67
rr_ret_fwd,5,3,-0.0003611570147909826,0.0019343207632452593,-0.18670999228952093,11153,67
rr_ret_fwd,5,4,-0.0009293606541260585,0.001892172186321681,-0.49116072038491604,15461,67
rr_ret_fwd,5,5,0.00124596785833026,0.001964930446728013,0.634102779772707,10641,67
rr_ret_fwd,5,6,0.002489744373644186,0.001996169964485087,1.2472607132361178,13267,67
rr_ret_fwd,5,7,0.003606153271055111,0.0018208284930264816,1.9805013403877265,12792,67
rr_ret_fwd,5,8,0.0037969516170812206,0.0018975171364432213,2.0010104489482354,12156,67
rr_ret_fwd,5,9,0.006195088105985581,0.001934880935402856,3.20179293342188,13085,67
rr_ret_fwd,5,10,0.008988664548907654,0.0021317657052576724,4.21653492536187,12035,67
rr_ret_fwd,10,1,-0.002666243174731046,0.0039886815739392555,-0.6684522505259406,11179,67
rr_ret_fwd,10,2,-0.0014140190067559455,0.0035670085381470256,-0.39641592994069313,11831,67
rr_ret_fwd,10,3,0.001779318002170023,0.0034626969379852645,0.5138532288665439,11105,67
rr_ret_fwd,10,4,0.0016212037268021147,0.0034998981285327305,0.4632145471850563,15362,67
rr_ret_fwd,10,5,0.003149760223790943,0.0035736521823330086,0.881384103176674,10597,67
rr_ret_fwd,10,6,0.004834665135410572,0.003706961292134448,1.304212467950211,13203,67
rr_ret_fwd,10,7,0.006677631238035761,0.0034574165239568268,1.931393337124904,12723,67
rr_ret_fwd,10,8,0.005486125253318256,0.003474003127392493,1.5791941032119954,12096,67
rr_ret_fwd,10,9,0.00881318069057343,0.0034575747644464538,2.5489486969877255,13010,67
rr_ret_fwd,10,10,0.011765808693026302,0.003735496338537166,3.14973102011762,11968,67
rr_ret_fwd,20,1,0.004606628216398478,0.006137384630139126,0.7505848979672066,10881,67
rr_ret_fwd,20,2,0.0056740245080627765,0.005830944743930118,0.9730883685648553,11588,67
rr_ret_fwd,20,3,0.00948377424855024,0.005611026879836097,1.6902029613565617,10880,67
rr_ret_fwd,20,4,0.007181215987605633,0.0054323014795037185,1.3219472473500662,15068,67
rr_ret_fwd,20,5,0.010917853352792153,0.005530533469135961,1.9741049238235344,10408,67
rr_ret_fwd,20,6,0.010823221975349306,0.005921704571228198,1.8277206917643483,13010,67
rr_ret_fwd,20,7,0.010958105511874278,0.005618269911636967,1.95044127181876,12524,67
rr_ret_fwd,20,8,0.012381857951537208,0.005938630506736465,2.084968569351451,11928,67
rr_ret_fwd,20,9,0.015404929034697703,0.005732989163583685,2.6870675305913365,12819,67
rr_ret_fwd,20,10,0.019622853409805584,0.0061370650506750255,3.197432852312236,11755,67
rr_ret_fwd,40,1,0.01964205562806341,0.009283186141421727,2.1158743699450597,10091,67
rr_ret_fwd,40,2,0.019327056705685536,0.009091766579016428,2.125775726610921,10853,67
rr_ret_fwd,40,3,0.020830973675696515,0.00892664867836343,2.3335715817053493,10127,67
rr_ret_fwd,40,4,0.02790832315515316,0.013404203670406348,2.0820575277268314,14234,66
rr_ret_fwd,40,5,0.018816518242729903,0.008584375350391402,2.191949614816408,9870,67
rr_ret_fwd,40,6,0.021649140408944244,0.008447630862252028,2.56274697154237,12242,66
rr_ret_fwd,40,7,0.020860076404218896,0.008339975987551774,2.5012154034201766,11877,67
rr_ret_fwd,40,8,0.022324330733677403,0.008774355670907922,2.5442700946914547,11332,66
rr_ret_fwd,40,9,0.026489893275255888,0.008615276162644257,3.074758461036429,12177,66
rr_ret_fwd,40,10,0.03289890073706949,0.008969883287177136,3.6677066672762617,11135,67
rr_ret_fwd,60,1,0.03294161160369748,0.012132095592278822,2.715244975868997,8888,65
rr_ret_fwd,60,2,0.03469750343898454,0.012409737430389797,2.7959901354572554,9725,66
rr_ret_fwd,60,3,0.03142863274981983,0.011430638611836241,2.7495080386213933,9109,65
rr_ret_fwd,60,4,0.027300350340197933,0.011352198564952537,2.404851376056958,12794,65
rr_ret_fwd,60,5,0.03012727609259884,0.011326470341166538,2.659899790943695,8906,65
rr_ret_fwd,60,6,0.0338148990141483,0.011071567593551967,3.054210591988975,11020,66
