stop_pct,target_pct,bucket,n,mean_return,std_return,sharpe_proxy,pct_target_hit,pct_stop_hit,pct_held_to_horizon
0.1,0.15,D9_D10_calls_proxy,42,0.020604761081039886,0.1462503338985767,0.1408869336006378,0.38095238095238093,0.38095238095238093,0.23809523809523808
0.1,0.15,D1_D2_puts_proxy,41,-0.007202448498759918,0.11584311568486201,-0.06217416077061807,0.17073170731707318,0.36585365853658536,0.4634146341463415
0.1,0.15,all,200,-0.002855008516558155,0.13043621197328123,-0.021888158766393644,0.245,0.415,0.34
0.1,0.3,D9_D10_calls_proxy,42,0.04553062084982856,0.18154358476069032,0.2507971896106753,0.16666666666666666,0.38095238095238093,0.4523809523809524
0.1,0.3,D1_D2_puts_proxy,41,-0.02436786080046669,0.10604084216086186,-0.2297969377072763,0.024390243902439025,0.3902439024390244,0.5853658536585366
0.1,0.3,all,200,-0.001262333530335864,0.14565960304163905,-0.008666325487479233,0.075,0.425,0.5
0.2,0.15,D9_D10_calls_proxy,42,0.03614089043221863,0.14819318117558036,0.24387687844691477,0.40476190476190477,0.07142857142857142,0.5238095238095238
0.2,0.15,D1_D2_puts_proxy,41,-0.00985082077849784,0.12319066820875936,-0.07996401774365412,0.17073170731707318,0.0975609756097561,0.7317073170731707
0.2,0.15,all,200,0.00340737992697101,0.1400354466387029,0.02433226735629435,0.26,0.1,0.64
0.2,0.3,D9_D10_calls_proxy,42,0.061345617069475444,0.1811145348829864,0.3387117279632434,0.16666666666666666,0.07142857142857142,0.7619047619047619
0.2,0.3,D1_D2_puts_proxy,41,-0.03125749949035231,0.1200574300019065,-0.26035456106178473,0.024390243902439025,0.12195121951219512,0.8536585365853658
0.2,0.3,all,200,0.0036377426405075535,0.15614461798544946,0.023297265621070214,0.075,0.11,0.815
