horizon,mean_spread,se,t_stat,n_quarters,n_d1,n_d10
1,0.007984512849582326,0.0006996224945202941,11.412601670357981,72,17466,17404
5,0.015930469829178808,0.0011212216788570265,14.208135759039488,72,17452,17398
10,0.01794066683488766,0.0014581167860058732,12.303998559697945,72,17419,17384
20,0.021770143999130815,0.0018012738107269278,12.085971532748365,72,17376,17350
40,0.02794155968805952,0.0028865530635854343,9.67990508837307,72,17265,17282
60,0.03761138741070217,0.004065699160916175,9.250902716133753,72,17140,17208
