quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1998Q1,10000000.0,1257,ok,0.0,3000000.0,2478200.0,901885.25
1998Q2,10901885.25,1168,ok,1347118.75,3270565.5749999997,2694978.125,-237492.03125
1998Q3,10664393.21875,1029,ok,349846.875,3199317.9656249997,2763009.375,-610423.0
1998Q4,10053970.21875,776,ok,533021.875,3016191.065625,2566137.5,573184.65625
1999Q1,10627154.875,870,ok,613159.375,3188146.4625,2632521.875,-175380.875
1999Q2,10451774.0,923,ok,825850.0,3135532.1999999997,2512984.375,284039.09375
1999Q3,10735813.09375,1018,ok,433356.25,3220743.928125,2647309.375,-279609.21875
1999Q4,10456203.875,889,ok,469921.875,3136861.1625,2651434.375,439429.625
2000Q1,10895633.5,847,ok,524053.125,3268690.05,2327553.125,433260.625
2000Q2,11328894.125,700,ok,720340.625,3398668.2375,2871721.875,-32700.8125
2000Q3,11296193.3125,773,ok,396959.375,3388857.99375,2661309.375,257188.875
2000Q4,11553382.1875,613,ok,535546.875,3466014.65625,3133867.5,445570.38125
2001Q1,11998952.56875,795,ok,624590.625,3599685.770625,3173529.375,-417024.4125
2001Q2,11581928.15625,831,ok,992256.25,3474578.446875,3042218.75,-6054.499999999978
2001Q3,11575873.65625,940,ok,601132.5,3472762.096875,3188385.0,-411325.075
2001Q4,11164548.58125,905,ok,872212.5,3349364.5743750003,3041810.0,496779.575
2002Q1,11661328.15625,1076,ok,711197.5,3498398.446875,3215960.0,1004682.125
2002Q2,12666010.28125,1088,ok,1199557.5,3799803.0843749996,3566600.0,-430548.775
2002Q3,12235461.50625,711,ok,503230.0,3670638.451875,3553597.5,574431.475
2002Q4,12809892.98125,767,ok,758590.0,3842967.8943749997,3642237.5,-232139.425
2003Q1,12577753.556249999,918,ok,886987.5,3773326.0668749996,3653932.5,-204293.34999999998
2003Q2,12373460.206249999,1150,ok,1213330.0,3712038.0618749997,3540535.0,2976533.85
2003Q3,15349994.056249999,1272,ok,631325.0,4604998.216874999,4390482.5,961972.775
2003Q4,16311966.831249999,1325,ok,975707.5,4893590.0493749995,4667207.5,2030710.0
2004Q1,18342676.831249997,1422,ok,974412.5,5502803.049374999,5267005.0,543074.725
2004Q2,18885751.55625,1371,ok,1975822.5,5665725.466874999,5453295.0,464935.825
2004Q3,19350687.381249998,1331,ok,956580.0,5805206.2143749995,5615922.5,1135722.225
