decile_lag4,sue_t_mean,sue_t_std,n_pairs
1,-0.5810730334218726,10.289267123331255,12838
2,-0.14812875284967225,6.890182307323744,13577
3,0.02931925406822929,8.023175048516494,12927
4,0.24364875047001436,6.967252551628893,17425
5,0.39136765146887403,6.0199468064519195,11839
6,0.6264730326216557,6.155951460848792,15063
7,0.5423345427013923,8.386139403469029,14437
8,0.830320483153874,5.9469208873289015,13875
9,1.0640265553935588,6.770771415973847,14966
10,1.4401624866104157,9.984737110792514,14459
