quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,120000.0,0,ok,0,0.0
1995Q2,10000000.0,120000.0,0,ok,0,0.0
1995Q3,10000000.0,120000.0,0,ok,0,0.0
1995Q4,10000000.0,120000.0,0,ok,0,0.0
1996Q1,10000000.0,120000.0,360,ok,0,123556.52653791818
1996Q2,10123556.526537918,121482.67831845501,545,ok,0,1314051.6177545968
1996Q3,11437608.144292515,137251.2977315102,1249,priority_capped,78,1259305.9114069697
1996Q4,12696914.055699484,152362.96866839382,1581,priority_capped,251,615892.5485760381
1997Q1,13312806.604275523,159753.67925130628,1367,priority_capped,236,-1854095.4348877275
1997Q2,11458711.169387795,137504.53403265355,1361,priority_capped,224,2086971.577891609
1997Q3,13545682.747279404,162548.19296735284,1338,priority_capped,245,1730199.1113906617
1997Q4,15275881.858670065,183310.58230404078,1366,priority_capped,178,1512859.7907926987
1998Q1,16788741.649462763,201464.89979355317,1742,priority_capped,253,140254.0174757947
1998Q2,16928995.66693856,203147.9480032627,1330,priority_capped,190,1553830.2560060546
1998Q3,18482825.922944613,221793.91107533535,1386,ok,0,628068.2488881237
1998Q4,19110894.171832737,229330.73006199286,1754,priority_capped,184,3900269.9088897672
1999Q1,23011164.080722503,276133.96896867006,1486,ok,0,790398.8370504414
1999Q2,23801562.917772945,285618.75501327537,1694,ok,0,2653642.8668637737
1999Q3,26455205.784636717,317462.46941564063,1767,ok,0,3853536.9383528195
1999Q4,30308742.722989537,363704.9126758744,1424,ok,0,963078.2531004729
2000Q1,31271820.97609001,375261.85171308013,1772,ok,0,3595730.352620035
2000Q2,34867551.32871004,418410.6159445205,1561,ok,0,2469641.236986744
2000Q3,37337192.56569678,448046.3107883614,1684,ok,0,449332.8470347052
2000Q4,37786525.41273149,453438.3049527779,1239,ok,0,-2578335.7556777373
2001Q1,35208189.657053754,422498.27588464506,1379,ok,0,-5840465.62579062
2001Q2,29367724.031263135,352412.68837515765,1526,ok,0,5886592.2522576
2001Q3,35254316.283520736,423051.79540224886,1313,ok,0,-913397.9382372737
2001Q4,34340918.34528346,412091.0201434016,1671,ok,0,1857609.0265341704
2002Q1,36198527.37181763,434382.3284618116,1297,ok,0,583892.7708674427
2002Q2,36782420.14268508,441389.04171222093,1594,ok,0,8767224.780683186
2002Q3,45549644.92336826,546595.7390804192,1600,ok,0,4393035.359510889
2002Q4,49942680.28287915,599312.1633945499,1290,ok,0,-6992348.225083621
2003Q1,42950332.05779553,515403.9846935464,1600,ok,0,4337379.9239658695
2003Q2,47287711.9817614,567452.5437811369,1290,ok,0,-1978977.6168782641
2003Q3,45308734.36488314,543704.8123785977,1600,ok,0,390099.4614917676
2003Q4,45698833.82637491,548386.005916499,1703,ok,0,-119551.91734917765
2004Q1,45579281.909025736,546951.3829083089,1694,ok,0,1578988.8234936334
