name,base_unit_fraction,liquidity_cap_frac,max_gross_leverage,n_positions,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_gross_exposure,avg_leverage_vs_initial_capital,avg_n_open_positions,max_n_open_positions,total_transaction_costs,annual_turnover_x_capital,pct_liquidity_capped,final_nav,n_quarters_leverage_capped,total_positions_dropped_by_priority_cap,correlation_to_market,asset_class,source_summary,max_nav_check_diff,trim,tilt_power,beta_target,overlay_cost_bps,avg_net_exposure,avg_net_exposure_pct_of_gross,ml_blend_weight,sweep_search_sharpe,sweep_holdout_sharpe,strategy_variant,hold_horizon_days,n_positions_eligible,n_positions_sized,half_kelly_multiplier,assumed_roundtrip_cost_pct,premium_cap_method,status,source,notes,strategy,max_premium_frac,max_outstanding_premium_frac,avg_premium_outstanding,n_quarters_premium_capped
backtest_options_optimal_cap40_h20d,,,,,4.769103747749989,0.1107672089423295,0.046096926509097254,2.3023216425951825,-0.17096490040616916,,,,,,,,57691037.477499895,,,,options,backtest_options_optimal_cap40_h20d_summary.json,,,,,,,,,,,,20.0,83127.0,82122.0,0.5,0.03,,,,,backtest_options_optimal_cap40_h20d,0.4,0.39522333288494377,,
backtest_options_optimal_cap40_h40d,,,,,10.258818726999984,0.156190885654113,0.05255268894525533,2.7886355431587213,-0.19058329235019472,,,,,,,,112588187.26999983,,,,options,backtest_options_optimal_cap40_h40d_summary.json,,,,,,,,,,,,40.0,81695.0,80426.0,0.5,0.03,,,,,backtest_options_optimal_cap40_h40d,0.4,0.3999881409338489,,
backtest_options_optimal_cap40_h5d,,,,,0.7955947593749992,0.03570956575140505,0.022838951397231726,1.5477391898959965,-0.067598533988114,,,,,,,,17955947.593749993,,,,options,backtest_options_optimal_cap40_h5d_summary.json,,,,,,,,,,,,5.0,83841.0,82259.0,0.5,0.03,,,,,backtest_options_optimal_cap40_h5d,0.4,0.3905107784241306,,
backtest_options_optimal_cap40_h60d,,,,,10.541439969,0.15791040627657926,0.04503093935592488,3.2793201963791914,-0.2385825375724861,,,,,,,,115414399.69000001,,,,options,backtest_options_optimal_cap40_h60d_summary.json,,,,,,,,,,,,60.0,81605.0,76825.0,0.5,0.03,,,,,backtest_options_optimal_cap40_h60d,0.4,0.39510902784663904,,
backtest_options_optimal_h10d,,,,,0.7714933683750015,0.03487094653426759,0.01768288792844029,1.9473531696830402,-0.041105650427800136,,,,,,,,17714933.683750015,,,,options,backtest_options_optimal_h10d_summary.json,,,,,,,,,,,,10.0,83763.0,77442.0,0.5,0.03,,,,,backtest_options_optimal_h10d,0.2,0.190033228973142,,
backtest_options_optimal_h1d,,,,,-0.0018810981249999254,-0.00011285831756246978,0.0044102891845687105,-0.02338819891484964,-0.03292590821148984,,,,,,,,9981189.01875,,,,options,backtest_options_optimal_h1d_summary.json,,,,,,,,,,,,1.0,83882.0,73464.0,0.5,0.03,,,,,backtest_options_optimal_h1d,0.2,0.18746345304146553,,
backtest_options_optimal_h20d,,,,,1.5369843261250011,0.057391914423623014,0.022478933732762753,2.4940452377553393,-0.07593291711196964,,,,,,,,25369843.26125001,,,,options,backtest_options_optimal_h20d_summary.json,,,,,,,,,,,,20.0,83127.0,78119.0,0.5,0.03,,,,,backtest_options_optimal_h20d,0.2,0.19096903835234416,,
backtest_options_optimal_h40d,,,,,2.657198891625005,0.08082844410205481,0.02638407858778042,2.9596421722104576,-0.10345448601827709,,,,,,,,36571988.91625005,,,,options,backtest_options_optimal_h40d_summary.json,,,,,,,,,,,,40.0,81695.0,75323.0,0.5,0.03,,,,,backtest_options_optimal_h40d,0.2,0.19996227945518338,,
backtest_options_optimal_h5d,,,,,0.383022519875,0.019627911395993625,0.010988045230968867,1.7745390756467505,-0.027464740987127163,,,,,,,,13830225.19875,,,,options,backtest_options_optimal_h5d_summary.json,,,,,,,,,,,,5.0,83841.0,76011.0,0.5,0.03,,,,,backtest_options_optimal_h5d,0.2,0.1895052040277613,,
backtest_options_optimal_h60d,,,,,2.9486311284999998,0.08580726630678837,0.021844933098782195,3.780068142477485,-0.10283883168630535,,,,,,,,39486311.285,,,,options,backtest_options_optimal_h60d_summary.json,,,,,,,,,,,,60.0,81605.0,70167.0,0.5,0.03,,,,,backtest_options_optimal_h60d,0.2,0.18967185451760446,,
backtest_options_v1_h10d,,,,,0.42137605124999955,0.02130115180925185,0.03639821978437647,0.5971854527878055,-0.10535899834301858,,,,,,,,14213760.512499996,,,,options,backtest_options_v1_h10d_summary.json,,,,,,,,,,,,10.0,101212.0,2061.0,,0.03,,,,,backtest_options_v1_h10d,,,2278521.51119403,67.0
backtest_options_v1_h1d,,,,,-0.15589235074999985,-0.010107412956298245,0.012918084841975456,-0.7799363171967261,-0.1590542357499998,,,,,,,,8441076.492500002,,,,options,backtest_options_v1_h1d_summary.json,,,,,,,,,,,,1.0,101326.0,2056.0,,0.03,,,,,backtest_options_v1_h1d,,,1791213.9962686568,67.0
backtest_options_v1_h20d,,,,,0.6144130908749997,0.02912707715764573,0.049557548974554666,0.6040087956456792,-0.13991028310063675,,,,,,,,16144130.908749998,,,,options,backtest_options_v1_h20d_summary.json,,,,,,,,,,,,20.0,100570.0,2086.0,,0.03,,,,,backtest_options_v1_h20d,,,2583549.7966417912,67.0
backtest_options_v1_h40d,,,,,1.141887439749999,0.04671612331223374,0.06679708170537248,0.7167987192981973,-0.19397185847109577,,,,,,,,21418874.39749999,,,,options,backtest_options_v1_h40d_summary.json,,,,,,,,,,,,40.0,99370.0,2012.0,,0.03,,,,,backtest_options_v1_h40d,,,2839097.563432836,66.0
backtest_options_v1_h5d,,,,,0.13782153237500006,0.007769586658010086,0.025848749856420584,0.3123002603479077,-0.13081584190270196,,,,,,,,11378215.32375,,,,options,backtest_options_v1_h5d_summary.json,,,,,,,,,,,,5.0,101285.0,2056.0,,0.03,,,,,backtest_options_v1_h5d,,,2021052.8861940298,67.0
backtest_options_v1_h60d,,,,,3.5506597048749997,0.09508263716758458,0.09156496164411218,1.0374047010046685,-0.25897545428902274,,,,,,,,45506597.04875,,,,options,backtest_options_v1_h60d_summary.json,,,,,,,,,,,,60.0,99294.0,2007.0,,0.03,,,,,backtest_options_v1_h60d,,,4330515.087686568,66.0
options_aggressive_overlap_60d,,,,,9.766193717499998,0.15309426599522524,0.04026983752673498,3.558440043328052,-0.21361150446038443,,,,,,,,107661937.17499998,,,,options,backtest_options_aggressive_overlap_h60d_summary.json,,,,,,,,,,,aggressive_overlap,60.0,81605.0,78522.0,0.5,0.03,per_entry_quarter; overlapping open positions not deducted,historical_aggressive_variant_not_properly_capped,git:HEAD:data/backtest_options_optimal_h60d_summary.json,"Preserved for comparison. The 20% premium budget was applied to each new quarter independently, so outstanding premium could exceed 20% while 60-day positions overlapped.",backtest_options_aggressive_overlap_h60d,,,,
