name,n_positions,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_gross_exposure,avg_leverage,avg_n_open_positions,max_n_open_positions,total_transaction_costs,annual_turnover_x_capital,pct_liquidity_capped,final_nav
extreme,34225,0.25041066542299967,0.011540194135412296,0.023101840886026237,0.5565474800566361,-0.09601372859297841,5063038.362499306,0.5063038362499306,557.8647106764466,1016,625938.1715010011,3.1897141683745636,0.18007304601899196,12504106.654229997
rankweighted,173445,0.3825023166602934,0.01676936571236176,0.03612723214939924,0.5436199255533914,-0.12404034040446506,10660802.924007958,1.0660802924007957,1842.9788101059494,3529,1640523.8026774838,8.36390692550478,0.08345585055781371,13825023.166602934
balanced,34225,0.2127444483134933,0.009952882299397725,0.022313596650815684,0.48953601039981126,-0.09129524339166442,4714730.61926713,0.471473061926713,557.8647106764466,1016,580627.0378694371,2.970280290138294,0.18156318480642805,12127444.483134933
