quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1998Q1,10000000.0,1145,ok,0.0,2000000.0,1482150.0,-13402.0
1998Q2,9986598.0,1180,ok,7031.25,1997319.6,1417028.125,-51765.53125
1998Q3,9934832.46875,975,ok,0.0,1986966.4937500001,1559431.25,-63095.4375
1998Q4,9871737.03125,723,ok,1375.0,1974347.40625,1544856.25,-5445.0625
1999Q1,9866291.96875,802,ok,587.5,1973258.39375,1419806.25,-50820.3125
1999Q2,9815471.65625,857,ok,4200.0,1963094.33125,1352959.375,-7644.03125
1999Q3,9807827.625,914,ok,6937.5,1961565.5250000001,1396784.375,-43739.15625
1999Q4,9764088.46875,821,ok,8396.875,1952817.69375,1464818.75,-5030.15625
2000Q1,9759058.3125,716,ok,0.0,1951811.6625,1056943.75,-11770.8125
2000Q2,9747287.5,647,ok,2600.0,1949457.5,1444318.75,-16385.9375
2000Q3,9730901.5625,640,ok,2387.5,1946180.3125,1202621.875,-32572.65625
2000Q4,9698328.90625,579,ok,0.0,1939665.78125,1587777.5,8058.550000000003
2001Q1,9706387.45625,708,ok,0.0,1941277.4912500002,1480931.25,-30336.687499999993
2001Q2,9676050.76875,788,ok,0.0,1935210.1537500003,1509420.0,16307.400000000001
2001Q3,9692358.168750001,890,ok,434.99999999999994,1938471.6337500003,1649535.0,6601.999999999993
2001Q4,9698960.168750001,872,ok,4280.0,1939792.0337500004,1632065.0,11593.949999999997
