number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_dim,params_lr,params_n_layers,state
0,0.05675675347447395,2026-09-08 15:56:27.978320,2026-09-08 15:56:28.938448,0 days 00:00:00.960128,0.4737797363563133,16,0.003160664234773381,2,COMPLETE
1,0.06333296746015549,2026-09-08 15:56:28.938492,2026-09-08 15:56:28.947278,0 days 00:00:00.008786,0.4782940603838244,32,0.00764527217109789,1,COMPLETE
