hold_horizon_days,n_positions_eligible,n_positions_sized,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,avg_premium_outstanding,final_nav,assumed_roundtrip_cost_pct,n_quarters_premium_capped
1,101326,2056,-0.15589235074999985,-0.010107412956298245,0.012918084841975456,-0.7799363171967261,-0.1590542357499998,1791213.9962686568,8441076.492500002,0.03,67
5,101285,2056,0.13782153237500006,0.007769586658010086,0.025848749856420584,0.3123002603479077,-0.13081584190270196,2021052.8861940298,11378215.32375,0.03,67
10,101212,2061,0.42137605124999955,0.02130115180925185,0.03639821978437647,0.5971854527878055,-0.10535899834301858,2278521.51119403,14213760.512499996,0.03,67
20,100570,2086,0.6144130908749997,0.02912707715764573,0.049557548974554666,0.6040087956456792,-0.13991028310063675,2583549.7966417912,16144130.908749998,0.03,67
40,99370,2012,1.141887439749999,0.04671612331223374,0.06679708170537248,0.7167987192981973,-0.19397185847109577,2839097.563432836,21418874.39749999,0.03,66
60,99294,2007,3.5506597048749997,0.09508263716758458,0.09156496164411218,1.0374047010046685,-0.25897545428902274,4330515.087686568,45506597.04875,0.03,66
