quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,quarter_realized_pnl
1996Q1,10000000.0,15000.0,22,priority_capped,-73535.53125
1996Q2,9926464.46875,14889.696703125,20,priority_capped,41479.0625
1996Q3,9967943.53125,14951.915296875,23,priority_capped,6530.4375
1996Q4,9974473.96875,14961.710953125,21,priority_capped,-65533.1875
1997Q1,9908940.78125,14863.411171875001,22,priority_capped,-106807.46875
1997Q2,9802133.3125,14703.199968750001,27,priority_capped,12849.59375
1997Q3,9814982.90625,14722.474359375,25,priority_capped,-115239.3125
1997Q4,9699743.59375,14549.615390625,23,priority_capped,-57957.25
1998Q1,9641786.34375,14462.679515625001,23,priority_capped,-87967.875
1998Q2,9553818.46875,14330.727703125,32,priority_capped,-69994.75
1998Q3,9483823.71875,14225.735578125,27,priority_capped,-30017.78125
1998Q4,9453805.9375,14180.70890625,33,priority_capped,-6715.46875
1999Q1,9447090.46875,14170.635703125,32,priority_capped,-91741.09375
1999Q2,9355349.375,14033.0240625,28,priority_capped,-70741.9375
1999Q3,9284607.4375,13926.91115625,28,priority_capped,-101429.96875
1999Q4,9183177.46875,13774.766203125,33,priority_capped,-59507.34375
2000Q1,9123670.125,13685.5051875,26,priority_capped,71348.15625
2000Q2,9195018.28125,13792.527421875,26,priority_capped,-22792.75
2000Q3,9172225.53125,13758.338296875001,21,priority_capped,-59284.0625
2000Q4,9112941.46875,13669.412203125,19,priority_capped,-70590.28125
2001Q1,9042351.1875,13563.52678125,21,priority_capped,-142157.4
2001Q2,8900193.7875,13350.29068125,19,priority_capped,38400.52500000004
2001Q3,8938594.3125,13407.89146875,25,priority_capped,-75378.47500000002
2001Q4,8863215.8375,13294.823756250002,19,priority_capped,15138.875000000073
2002Q1,8878354.7125,13317.53206875,22,priority_capped,-38599.19999999999
2002Q2,8839755.512500001,13259.633268750002,19,priority_capped,-74526.84999999998
2002Q3,8765228.662500001,13147.842993750002,20,priority_capped,104720.97500000003
2002Q4,8869949.637500001,13304.924456250003,30,priority_capped,24156.349999999948
2003Q1,8894105.9875,13341.15898125,27,priority_capped,5325.875000000022
2003Q2,8899431.8625,13349.147793750002,21,priority_capped,39772.80000000003
2003Q3,8939204.662500001,13408.806993750002,19,priority_capped,-4813.0499999999665
2003Q4,8934391.6125,13401.587418750001,18,priority_capped,52165.924999999945
2004Q1,8986557.537500001,13479.836306250003,19,priority_capped,31544.150000000016
2004Q2,9018101.687500002,13527.152531250003,19,priority_capped,-3198.50000000008
2004Q3,9014903.187500002,13522.354781250004,28,priority_capped,-8695.675000000032
2004Q4,9006207.512500001,13509.311268750002,27,priority_capped,-43131.62499999998
2005Q1,8963075.887500001,13444.613831250002,29,priority_capped,-81267.27499999997
2005Q2,8881808.6125,13322.712918750001,28,priority_capped,-90412.32499999998
2005Q3,8791396.287500001,13187.094431250003,25,priority_capped,-24929.049999999956
2005Q4,8766467.2375,13149.700856250001,29,priority_capped,88431.77500000002
2006Q1,8854899.012500001,13282.348518750003,31,priority_capped,38053.27499999994
2006Q2,8892952.287500001,13339.428431250002,28,priority_capped,5853.599999999977
2006Q3,8898805.887500001,13348.208831250002,38,priority_capped,-1384.1000000000276
2006Q4,8897421.787500001,13346.132681250003,33,priority_capped,47285.97499999997
2007Q1,8944707.762500001,13417.061643750001,34,priority_capped,-39302.149999999994
2007Q2,8905405.6125,13358.108418750002,34,priority_capped,42390.499999999956
2007Q3,8947796.1125,13421.694168750002,35,priority_capped,25760.550000000003
2007Q4,8973556.662500001,13460.334993750002,41,priority_capped,36874.30000000003
2008Q1,9010430.962500002,13515.646443750004,40,priority_capped,-80516.15
2008Q2,8929914.812500002,13394.872218750003,34,priority_capped,-80263.52500000002
2008Q3,8849651.287500001,13274.476931250003,32,priority_capped,9148.705000000024
2008Q4,8858799.992500002,13288.199988750002,49,priority_capped,-64038.074999999975
2009Q1,8794761.917500002,13192.142876250004,35,priority_capped,37528.825000000026
2009Q2,8832290.742500002,13248.436113750002,40,priority_capped,-15591.699999999968
2009Q3,8816699.042500002,13225.048563750004,35,priority_capped,-84785.28499999999
2009Q4,8731913.757500002,13097.870636250003,28,priority_capped,-25284.674999999952
2010Q1,8706629.082500001,13059.943623750003,50,priority_capped,-50793.775
2010Q2,8655835.307500001,12983.752961250002,48,priority_capped,23884.265
2010Q3,8679719.572500002,13019.579358750003,40,priority_capped,62558.635000000024
2010Q4,8742278.207500001,13113.417311250003,41,priority_capped,-31023.900000000034
2012Q1,8711254.307500001,13066.881461250001,52,priority_capped,-9990.170000000027
2012Q2,8701264.137500001,13051.896206250001,54,priority_capped,2532.0750000000407
2012Q3,8703796.2125,13055.69431875,51,priority_capped,-61864.92500000003
2012Q4,8641931.2875,12962.89693125,43,priority_capped,-62045.01999999999
2013Q1,8579886.2675,12869.829401250001,45,priority_capped,-102254.45000000001
2013Q2,8477631.8175,12716.447726250002,44,priority_capped,-31892.250000000036
2013Q3,8445739.5675,12668.609351250001,46,priority_capped,-4663.074999999975
