group,mean_spread,se,t_stat,p_value,ci_low,ci_high,n_events,n_quarters,tier
5,0.016040682063539844,0.006659308238404601,2.408761013799052,0.01860414742172023,0.0029884379162668263,0.029092926210812862,46474,72,1
4,0.02178948369532791,0.006425574204010122,3.391056270384266,0.0011407534243883521,0.009195358255468073,0.03438360913518775,42343,72,1
3,0.03719176506678214,0.007288701857431451,5.102659677163495,2.6845085869808827e-06,0.022905909426216495,0.05147762070734778,38766,72,1
2,0.053012857593965707,0.007557569854554622,7.0145375582624805,1.104377700400505e-09,0.038200020679038646,0.06782569450889277,33938,72,1
1,0.06712891946465792,0.01236793361833683,5.427658454208702,7.530442174275009e-07,0.04288776957271773,0.09137006935659811,21069,72,1
