hold_horizon_days,n_positions_eligible,n_positions_sized,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,final_nav,half_kelly_multiplier,assumed_roundtrip_cost_pct,max_premium_frac,max_outstanding_premium_frac
1,83882,73464,-0.0018810981249999254,-0.00011285831756246978,0.0044102891845687105,-0.02338819891484964,-0.03292590821148984,9981189.01875,0.5,0.03,0.2,0.18746345304146553
5,83841,76011,0.383022519875,0.019627911395993625,0.010988045230968867,1.7745390756467505,-0.027464740987127163,13830225.19875,0.5,0.03,0.2,0.1895052040277613
10,83763,77442,0.7714933683750015,0.03487094653426759,0.01768288792844029,1.9473531696830402,-0.041105650427800136,17714933.683750015,0.5,0.03,0.2,0.190033228973142
20,83127,78119,1.5369843261250011,0.057391914423623014,0.022478933732762753,2.4940452377553393,-0.07593291711196964,25369843.26125001,0.5,0.03,0.2,0.19096903835234416
40,81695,75323,2.657198891625005,0.08082844410205481,0.02638407858778042,2.9596421722104576,-0.10345448601827709,36571988.91625005,0.5,0.03,0.2,0.19996227945518338
60,81605,70167,2.9486311284999998,0.08580726630678837,0.021844933098782195,3.780068142477485,-0.10283883168630535,39486311.285,0.5,0.03,0.2,0.18967185451760446
