ann_quarter,O0_raw,O0_net,O1_raw,O1_mktadj,O1_net_mktadj
1996Q1,0.11987318178743869,-0.004775361301662673,-0.008361161252065569,-0.007560933078572767,-0.005778484351367586
1996Q2,0.03722972211275602,-0.08255938554747402,0.031688005313582866,0.03114903160333874,0.03354175509999756
1996Q3,0.3883413481733949,0.2479068769007992,0.03760980759038378,0.03605462957387087,0.03968227286745395
1996Q4,-0.037585128859546804,-0.15297512328260546,-0.01195942808612191,-0.012447894805222426,-0.008996653406904594
1997Q1,0.10202945352317658,-0.0215698783439862,0.004963014106806967,0.009790562778870684,0.011834499379394573
1997Q2,0.6405050668598753,0.4852433689285146,0.017147873205784772,0.011942518879956485,0.014367161046902895
1997Q3,0.22043047000104019,0.089869158364979,0.02920450600237819,0.026528094326370676,0.02762662669998041
1997Q4,0.1541134390675636,0.027451568850390892,0.007231941772290175,0.013639003841554767,0.014910574380164236
1998Q1,0.201369306838727,0.07192879159660984,0.013217738708081211,0.007432583255123886,0.008213764614154104
1998Q2,0.283986045234541,0.14968766577474996,0.029145341938364693,0.027568464545051765,0.02980078995771273
1998Q3,0.37647559670445513,0.23673883161823317,0.023327865819945438,0.02678677397591421,0.031050433815989632
1998Q4,0.4707266188136737,0.3254478936274297,0.027192344832483326,0.026420568841359814,0.031047895072587647
1999Q1,0.0020830544795679695,-0.11563942912383061,-0.024369461114081448,-0.022742648892410143,-0.021229288449791474
1999Q2,0.0923254023755875,-0.030703331284097038,0.04269999031494333,0.037814680037124584,0.04141794870910864
1999Q3,0.1941197331253294,0.06510549281756006,0.03345824752448709,0.036922668326000954,0.03908313276386736
1999Q4,0.6896425104607834,0.5314915308456893,0.05876338157969539,0.05206111770520722,0.05522382815403522
2000Q1,0.1435452319407291,0.017504772302614227,0.022323073538556008,0.020695132617560195,0.022049306852696432
2000Q2,0.13691223721792084,0.011261797669507093,0.04872538323875505,0.04637497510901952,0.04703543670460764
2000Q3,0.08552769293167573,-0.0371013354127068,0.020028086763720882,0.02155809709969137,0.024130288786748895
2000Q4,-0.08331554875721163,-0.19601659449028758,-0.07136216658552594,-0.07073438597135481,-0.06951712555699122
2001Q1,-0.0745039133388995,-0.1877230832345722,-0.015699575409209715,-0.013320096220390223,-0.012911266628010686
2001Q2,-0.06788747467584352,-0.1814956911649039,-0.006450786349232563,-0.0028868201401636012,0.0011569960119814085
2001Q3,0.07906704288161825,-0.0431820992398209,0.0014785720457012666,-0.00032171052941482384,0.005338084068725248
2001Q4,0.0014575839957650105,-0.11622812194318595,-0.02294964320659685,-0.019186132913964225,-0.017185352208375915
2002Q1,0.25897589850436614,0.1261481156723094,0.03504743414215804,0.030063129633787714,0.03246465748136658
2002Q2,0.37098224605700525,0.23156848998885327,0.009985169241251937,0.010413905610118266,0.01835853366989569
2002Q3,0.19166030977908088,0.06279068356407093,0.00862321426315631,0.004084476948706845,0.01335720363138933
2002Q4,-0.05325840077022429,-0.16772680680493512,0.0023004652591133573,-3.085134159006714e-05,0.005073502926668921
2003Q1,0.13964791348179648,0.013836616169066895,-0.005049626337450888,0.00298948373254284,0.004631854615467577
2003Q2,0.43542464785023444,0.29222167855664066,-0.0031220800484844657,-0.0051451439346238415,-0.0024699083728931467
2003Q3,0.09551735436944667,-0.02769906606747677,0.009799162588993847,0.012304844969446742,0.013919208908053989
2003Q4,0.053516194122836785,-0.06723055809158598,-0.013388683001596,-0.011545010228889043,-0.009170999836332403
2004Q1,0.11958046144503387,-0.00505086968793414,-0.002445064015677804,-0.004007275678508673,-0.0028875950104125274
2004Q2,0.033640524130383806,-0.08593753868848275,0.017126473480430615,0.018515216450519584,0.0204197203215332
2004Q3,0.13357287896370906,0.008118793680642972,0.007660844733168873,0.012200613238879814,0.015736705756103933
2004Q4,0.16086936339585362,0.033810244828177405,0.016315765931849614,0.01499200761040942,0.019215816292492503
2005Q1,0.11262372910634233,-0.011598546165110607,0.013840423213934284,0.013600060920671307,0.0158783363434091
2005Q2,0.18401824871329897,0.055597975688957024,-0.0053539176689063606,-0.005498846678950096,-0.0025874260757913557
2005Q3,0.15779407348523153,0.03091578196429992,0.015845363464955645,0.019343088676517243,0.020472040088093273
2005Q4,0.15322565652278153,0.02661598791924205,-0.002576420690652434,-0.0051618756846658585,-0.0027329055885325993
2006Q1,0.25946057793865823,0.12660429595586514,0.02148867080503999,0.01599663838408354,0.018007677318111207
2006Q2,0.14281578211205784,0.016818214123868858,0.014524166800113439,0.01598618368963852,0.018139564944098588
